commonName,lat,lon,is_pure_bus,id,lines
Aden Grove,51.55372,-0.08848,1,490009055N,"141, 341"
Adley Street,51.55015,-0.03408,1,490003222E,"236, 276, 308, W15"
Admirals Way,51.5006,-0.01971,1,490002074E,D8
Admirals Way,51.50061,-0.02019,1,490002074W,D8
Adrienne Avenue,51.53265,-0.37277,1,490003116S,"120, 282, E6, E7, E9, N7"
Adrienne Avenue,51.53275,-0.37287,1,490003116E,"120, 282, E6, E7, E9, N7"
Aerodrome Road / Colindale Gardens,51.5959,-0.24528,1,490017849E,"125, 186"
Aerodrome Road / Colindale Gardens,51.59591,-0.24659,1,490017849W,"125, 186"
Agar Grove,51.54329,-0.12765,1,490003119W,274
Agar Grove / Maiden Lane,51.54271,-0.1259,1,490003074N,390
Agar Grove Estate,51.54254,-0.13417,1,490003120E,274
Agar Grove Estate,51.54263,-0.13345,1,490003120W,274
Agate Close,51.53319,-0.28568,1,490020359E,
Ainslie Wood Road,51.61219,-0.01785,1,490003124S,"158, 215, 357, 385, 397, 657, 97, N26"
Aintree Avenue,51.53201,0.04877,1,490003126W,"115, 147, 5, 58, N15"
Aintree Crescent,51.59423,0.0814,1,490003127W,169
Aintree Crescent,51.59432,0.08159,1,490003127E,169
Aintree Road,51.53995,-0.31489,1,490003128W,297
Aintree Road,51.53997,-0.31437,1,490003128E,297
Airport House,51.35628,-0.11664,1,490003130N,"119, 289, 439"
Aitken Road,51.64656,-0.22315,1,490018830Z,384
Ajax Avenue,51.5938,-0.25291,1,490003132CC,"204, 303, 632, 642, N5"
Ajax Avenue,51.59415,-0.25223,1,490005786CD,"204, 303, 632, 642, N5"
Al-Emaan Centre / Keston Mosque,51.36727,0.03746,1,490008681W,"353, 654, 664"
Al-Emaan Centre / Keston Mosque,51.36746,0.03596,1,490010989E,"353, 654, 664"
Albany Leisure Centre,51.66791,-0.04179,1,490003136N,"121, 279, N279"
Albany Leisure Centre,51.66882,-0.04128,1,490003140S,"121, 279, N279"
Albany Park Avenue,51.66577,-0.03772,1,490003145W,191
Albany Park Avenue,51.66578,-0.03646,1,490003145E,191
Albany Park Rail Station,51.435453,0.125737,0,910GALBNYPK,"269, 669, B14, Southeastern"
Albany Park Station,51.43507,0.12596,1,4900ALBNYPK1,
Albany Park Station,51.43568,0.12606,1,4900ALBNYPK0,
Albany Road,51.41969,0.06598,1,490003139H,"161, 273, 638, N136"
Albany Road,51.48618,-0.29979,1,490003137X,"235, 65, N65"
Albany Road,51.48658,-0.29989,1,490003137V,"235, 65, N65"
Albany Road,51.5727,0.14558,1,490007654W,"86, N86"
Albany Road / Camberwell Road,51.48233,-0.09312,1,490003138W,42
Albany Road / Camberwell Road,51.48252,-0.09249,1,490003138E,42
Albany Road / Green Lane,51.42123,0.06792,1,490003142B,"160, 162, 61, R7"
Albany Road / Wells Way,51.48413,-0.08518,1,490003143W,"136, 343, 42, N343"
Albany Road / Wells Way,51.48424,-0.08526,1,490003143E,"136, 343, 42, N343"
Albany Street,51.52436,-0.14446,1,490013600C,88
Albatross Close,51.51844,0.05995,1,490003747S,"101, 104, 173, 300, 474, 673"
Albatross Close,51.5195,0.05951,1,490003747N,"101, 104, 173, 300, 474, 673"
Albemarle,51.44212,-0.22347,1,490003146S,93
Albemarle,51.44274,-0.22343,1,490003146N,93
Albemarle Road,51.40725,-0.00494,1,490003147W,227
Albemarle Road,51.40734,-0.00501,1,490003147E,227
Albert Bridge / Cadogan Pier,51.48316,-0.16867,1,490003152E,170
Albert Bridge / Cadogan Pier,51.48345,-0.16614,1,490003152W,170
Albert Carr Gardens,51.42319,-0.12858,1,490003153W,249
Albert Carr Gardens,51.42336,-0.12838,1,490003153E,249
Albert Grove,51.41513,-0.21935,1,490003155W,"131, 57, N87"
Albert Grove,51.41518,-0.21949,1,490003155E,"131, 57, N87"
Albert Road,51.51122,-0.47091,1,490003159D,350
Albert Road,51.51134,-0.4714,1,490003159C,350
Albert Road,51.57029,-0.11428,1,490003160CT,"210, 310, W3, W7"
Albert Road,51.57209,0.19067,1,490015118W,"165, 193, 294, 674"
Albert Road,51.57237,0.19231,1,490015118E,"165, 193, 294, 674"
Albert Road,51.5754,0.1883,1,490003157W,"370, 496, 649, 650"
Albert Road,51.57578,0.18921,1,490003157E,"370, 496, 649, 650"
Albert Road,51.60167,-0.1316,1,490003158S,"102, 184, 299"
Albert Road,51.60239,-0.13098,1,490003158N,"102, 184, 299"
Albert Road / Nuxley Road,51.48154,0.14439,1,490012593N,401
Albert Square,51.47626,-0.11849,1,490003164N,"155, 333, N155"
Albert Square,51.47695,-0.11742,1,490003164S,"155, 333, N155"
Albert Terrace / London Zoo,51.53788,-0.15498,1,490009291B,274
Albion Road,51.41356,-0.27319,1,490003166E,57
Albion Road,51.4136,-0.27232,1,490003166W,57
Albion Road,51.45589,0.14212,1,490020014NE,
Albion Road,51.55248,-0.08609,1,490010224S3,"141, 341"
Albury Avenue,51.345674,-0.227587,1,40004406047B,S2
Albury Avenue,51.345724,-0.227915,1,40004406047A,S2
Albury Close,51.42311,-0.36735,1,490003167E,R70
Albury Close,51.42314,-0.36886,1,490003167W,R70
Albury Drive,51.6044,-0.39802,1,490003168N,H13
Albury Drive,51.60487,-0.39782,1,490003168S,H13
Albyfield,51.39905,0.05477,1,490018904W,R7
Albyns Close,51.53559,0.19676,1,490003169S,"165, 365, 372, 652"
Alcock Road,51.48185,-0.39554,1,490016382N,H28
Alcock Road,51.48244,-0.39464,1,490016382W,H28
Aldborough Road,51.541,0.16554,1,490009581S,"103, 364"
Aldborough Road North,51.57756,0.09832,1,490003171E,"296, 396, 66"
Aldborough Road South,51.56276,0.09082,1,490011999E,"86, N86"
Aldborough Road South,51.5777,0.09912,1,490019701NU,"296, 396, 66"
Aldenham Drive,51.52714,-0.451,1,490003173S,U2
Aldenham Drive,51.52746,-0.45078,1,490003173N,U2
Aldenham Street,51.53158,-0.13554,1,490003174N,"1, 253, N20, N253, N5"
Aldenham Street,51.53199,-0.13576,1,490003174S,"1, 253, N20, N253, N5"
Alder Grove,51.56622,-0.23407,1,49003271DD,"16, 182, 245"
Alder Grove,51.5665,-0.23377,1,490005476N,"16, 182, 245"
Alderbrook Road,51.4492,-0.14794,1,490003175S,"155, 249, 355, N155"
Alderbrook Road,51.44933,-0.1481,1,490003175N,"155, 249, 355, N155"
Aldercroft,51.31617,-0.12852,1,49003176N1,404
Alderman Avenue,51.52697,0.11291,1,490003177E,"EL1, EL2"
Alderman Avenue,51.52711,0.11195,1,490003177W,"EL1, EL2"
Alderney Gardens,51.54492,-0.3729,1,490003178W,"120, 140, 282, 90, N140, N7"
Alderney Street,51.48792,-0.13961,1,490003179S,"24, 360, C10"
Aldersgate Street,51.51865,-0.0972,1,490010130N,"4, 56"
Alderson Street,51.52626,-0.2111,1,490003183E,23
Aldgate Bus Station,51.51386,-0.07532,1,490003184L,"115, 242, 254, N253, N551"
Aldgate East Station,51.51465,-0.07321,1,490000004W,"115, 135, 15, 205, 242, 25, 254, N15, N205, N25, N253, N550"
Aldgate East Station,51.51492,-0.07151,1,490000004Y,
Aldgate East Station,51.51532,-0.07024,1,490000004Z,"115, 135, 15, N15, N550"
Aldgate East Station,51.5155,-0.07143,1,490000004E,"205, 25, 254, N205, N25, N253"
Aldgate East Station,51.51572,-0.07238,1,490000004N,242
Aldgate East Station,51.51577,-0.07217,1,490019414S,242
Aldgate East Underground Station,51.515037,-0.072384,0,940GZZLUADE,"205, 25, 254, District, Hammersmith & City, N205, N25, N253"
Aldgate Station,51.51356,-0.07536,1,490000003DS,343
Aldgate Station,51.51408,-0.07493,1,490000003R,"100, 115, 15, 242, 25, 254, 343, 42, 78, N15, N25, N253, N550, N551"
Aldgate Station,51.514293,-0.074735,1,490000003Y,"25, N25, N550"
Aldgate Underground Station,51.514246,-0.075689,0,940GZZLUALD,"100, 135, 15, 205, 25, 42, 78, Circle, Metropolitan, N15, N205, N25, N550, N551"
Aldingham Gardens,51.54463,0.19546,1,490003185G,"165, 365, 372"
Aldingham Gardens,51.54518,0.19592,1,490003185F,"165, 365, 372"
Aldridge Avenue,51.62631,-0.26899,1,490003188W,288
Aldrington Road,51.42502,-0.14066,1,490003189N,"201, 333, 57"
Aldrington Road,51.42506,-0.14034,1,490003189S,"201, 333, 57"
Aldrington Road / North,51.42924,-0.13997,1,490002346HS,G1
Aldrington Road / North,51.42956,-0.14007,1,490002346HN,G1
Aldwych,51.51192,-0.11912,1,490015764E,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89"
Aldwych,51.5127,-0.11859,1,490003191D,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89"
Aldwych / Australia House,51.51306,-0.11543,1,490000293Z,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89"
Aldwych / Bush House,51.51319,-0.11701,1,490000372Z,"23, 87, 9, N155, N44, N87, N9"
Aldwych / Drury Lane,51.51226,-0.11881,1,490019703Z,"1, 172, 188, 243, 341, 59, 68, 76, N1, N171, N68, SL6"
Aldwych / Drury Lane,51.51278,-0.11831,1,490019703Y,"1, 15, 172, 188, 23, 243, 26, 341, 59, 68, 76, 87, 9, 91, N1, N15, N155, N171, N199, N21, N26, N44, N550, N551, N68, N87, N89, N9, N91, SL6"
Aldwych / Drury Lane,51.51283,-0.11841,1,490019703E,"172, 23, 243, 59, 87, 9, N155, N44, N87, N9"
Aldwych / Kingsway,51.51314,-0.11795,1,490003191F,"1, 188, 68, 91, N1, N171, N68, N91, SL6"
Aldwych Avenue,51.58076,0.084,1,490003194S,169
Aldwych Avenue,51.58166,0.08408,1,490003194N,169
Alers Road,51.45225,0.12865,1,490000500ZZ,B13
Alers Road,51.45241,0.12808,1,490000500YY,B13
Alexander Court,51.45749,-0.18154,1,490003200N,219
Alexander Road,51.56168,-0.12466,1,490003201S,"17, 263, 43, N271, N41"
Alexander Road / Coulsdon,51.32102,-0.15579,1,490000921Y,463
Alexander Road / Coulsdon,51.32121,-0.15574,1,490000921Z,"463, 633"
Alexandra Avenue,51.37015,-0.20308,1,490003202N1,"613, 80"
Alexandra Avenue,51.37046,-0.20369,1,490003202N2,"613, 80"
Alexandra Avenue,51.48209,-0.25809,1,490004598N,"190, 533"
Alexandra Avenue,51.5113,-0.37773,1,490012241I,"207, 427, N207"
Alexandra Avenue,51.56394,-0.36596,1,490013683E,"114, H9"
Alexandra Avenue,51.56417,-0.36452,1,490013683W,"114, 398, H10, H9"
Alexandra Avenue,51.5726,-0.36996,1,490003204F,H12
Alexandra Avenue / Alexandra Palace,51.59829,-0.12665,1,490002360HW,184
Alexandra Avenue / Alexandra Palace,51.59846,-0.12613,1,490002360HE,184
Alexandra Avenue Health Centre,51.56746,-0.36885,1,490003220N,398
Alexandra Avenue Health Centre,51.56786,-0.36857,1,490003220S,398
Alexandra Gardens,51.48095,-0.25891,1,490003206S,"190, 533, E3"
Alexandra Grove,51.56738,-0.10026,1,490003208S,"253, 254, 259, 29, 310, N253, N279, N29"
Alexandra Grove,51.568,-0.09975,1,490003208E,"253, 254, 259, 29, 310, N253, N279, N29"
Alexandra Palace Garden Centre,51.59234,-0.13392,1,490003210S,W3
Alexandra Palace Garden Centre,51.59238,-0.13421,1,490003210N,W3
Alexandra Palace Ice Rink,51.59364,-0.12998,1,490003198S,W3
Alexandra Palace Ice Rink,51.59532,-0.12786,1,490003198N,W3
Alexandra Palace Palm Court,51.5931,-0.13304,1,490003199S,W3
Alexandra Palace Palm Court,51.59318,-0.13298,1,490003199E,W3
Alexandra Palace Park,51.596,-0.12426,1,490003196E,W3
Alexandra Palace Park,51.59603,-0.12485,1,490003196W,W3
Alexandra Palace Station,51.59809,-0.11964,1,490001005D,"184, W3"
Alexandra Palace Station,51.59828,-0.12002,1,490001005C,"184, W3"
Alexandra Park Road,51.59604,-0.14519,1,490003212S,"134, 43, 634"
Alexandra Park Road,51.5962,-0.14544,1,490003212N,"134, 43, 634"
Alexandra Park Road / Alexandra Palace,51.59883,-0.12245,1,490018814E,184
Alexandra Park Road / Alexandra Palace,51.59907,-0.13591,1,490018813W,184
Alexandra Place,51.38144,-0.08846,1,490003214N,410
Alexandra Place,51.38197,-0.08814,1,490003214S,410
Alexandra Road,51.41794,-0.28908,1,490003215N,371
Alexandra Road,51.41813,-0.28873,1,490003215S,371
Alexandra Road,51.53017,0.1908,1,490003216S,"165, 365, 372, 652"
Alexandra Road,51.53051,0.19068,1,490003216N,"165, 365, 372, 652"
Alexandra Road,51.58979,-0.2164,1,490003218W,"125, 143, 326, 643, 653, 683"
Alexandra Road,51.59008,-0.21503,1,490003218E,"125, 143, 326, 643, 653, 683"
Alexandra Road,51.60895,-0.14309,1,490003217W,232
Alexandra Road,51.60943,-0.14246,1,490003217E,232
Alexandra Road,51.64734,-0.03936,1,490003082E,"191, 313, 491"
Alexandra Road,51.64773,-0.03703,1,490015127W,191
Alexandra Road / Wimbledon,51.42181,-0.20697,1,490014734B,"156, 493, N87"
Alexandra Road / Wimbledon,51.42203,-0.20689,1,490014734A,"156, 493, N87"
Alford House,51.57738,-0.13729,1,490000410Z,W5
Alford Road,51.48415,0.16466,1,490013473N,99
Alford Road,51.48423,0.16486,1,490013473S,99
Alfred Road,51.627235,0.05021,1,150042019001,"167, 677"
Alfred Road,51.627253,0.049719,1,150042019002,"167, 677"
Algar Court,51.41383,-0.36359,1,490003224E,"111, 216"
Algernon Road,51.45786,-0.02044,1,490003225N,484
Alice Lane,51.53405,-0.0335,1,490012461N,"8, N8"
Alice Lane,51.53462,-0.03376,1,490012461S,"8, N8"
All Hallows Church,51.51669,-0.08478,1,490003172A,"100, 153, 21, 43"
All Hallows Road,51.59898,-0.07736,1,490009361N,318
All Hallows Road,51.59905,-0.07683,1,490003235S,318
All Saints,51.51113,-0.01291,0,4900ZZDLALL1,
All Saints,51.5112,-0.01311,0,4900ZZDLALL2,
All Saints Church,51.302107,-0.329914,1,40004408188A,465
All Saints Church,51.302408,-0.329587,1,40004408188B,465
All Saints Church,51.41087,-0.0863,1,490015128S,249
All Saints Church,51.41138,-0.08602,1,490015128E,249
All Saints Church,51.47813,0.06607,1,490003243N,386
All Saints Church,51.48339,0.1474,1,490003247S,"401, 601"
All Saints Church,51.62613,-0.06547,1,490003245W,"616, W8"
All Saints Church,51.62635,-0.06591,1,490003245E,"616, W8"
All Saints Church / Clarence Street,51.41098,-0.30605,1,490003249P3,411
All Saints DLR Station,51.511,-0.013135,0,940GZZDLALL,"108, 115, 15, 309, D6, D7, D8, DLR, N15, N551"
All Saints Mews,51.61175,-0.33485,1,490003251W,"340, 640, H12, H19"
All Saints Mews,51.61202,-0.33435,1,490003251E,"340, 640, H12, H18, H19"
All Saints Road,51.50196,-0.27003,1,490003252E1,440
All Saints School,51.307185,-0.331595,1,40004408189B,465
All Saints School,51.307487,-0.331957,1,40004408189A,465
All Souls Avenue,51.53373,-0.23432,1,490003257S1,187
All Souls Avenue,51.53385,-0.23338,1,490003257S2,187
All Souls Avenue,51.54035,-0.22512,1,490003256S,"302, 52, 6"
All Souls Avenue,51.54101,-0.22588,1,490003256N,"302, 52, 6"
Allan Way,51.5238,-0.26635,1,490003228W,
Allandale Avenue,51.59192,-0.1994,1,490005488S,"13, 460"
Allandale Avenue,51.59231,-0.19958,1,490005488N,"13, 460"
Allen Road,51.52105,0.20905,1,490003232W,"165, 287, 652"
Allen Road,51.52134,0.20977,1,490003232E,"165, 287, 652"
Allenby Road,51.51953,-0.36804,1,490005613S,105
Allenby Road,51.51957,-0.3685,1,490005613N,105
Allendale Road,51.55079,-0.32065,1,490003231E,"487, H17"
Alleyn Road,51.43002,-0.08875,1,490003233N,"3, N3"
Alliance Road,51.5264,-0.27719,1,490003236W,"487, 95"
Allington Road,51.53215,-0.21053,1,490003237E,"187, 316, 6"
Allington Road / Andover Road,51.37709,0.08272,1,490003239S,R7
Allington Road / Andover Road,51.37722,0.0827,1,490003239N,R7
Allington Road / Crofton Road,51.37306,0.08218,1,490005791S,R7
Allington Road / Crofton Road,51.37334,0.08195,1,490005791N,R7
Allison Grove,51.44212,-0.08097,1,490003240W,"P13, P4"
Alloa Road,51.48713,-0.04328,1,490003241N,225
Alloa Road,51.48779,-0.04369,1,490003241S,225
Alma Avenue,51.55465,0.22979,1,490003258S,193
Alma Avenue,51.55513,0.22974,1,490003258N,193
Almington Street,51.56845,-0.11939,1,490003261E,"210, 310"
Almington Street,51.56886,-0.11833,1,490003261W,"210, 310"
Almond Way,51.38229,0.05666,1,490003262HW,R3
Almond Way,51.38238,0.05655,1,490003262W,R3
Alnwick Road / Mottingham Lane,51.44373,0.02901,1,490018683SE,B15
Alperton Lane,51.53208,-0.31153,1,490003265W,95
Alperton Lane,51.5321,-0.30996,1,490003265E,95
Alperton Sainsbury's,51.53802,-0.30235,1,490003268E1,"224, 245, 297, 83"
Alperton Sainsbury's,51.53802,-0.3021,1,490003268E2,224
Alperton Sainsbury's / Athlon Road,51.5379,-0.30258,1,490003268W2,"224, 245, 297, 83"
Alperton Station,51.54032,-0.30139,1,490003264D,"245, 487"
Alperton Station,51.54044,-0.30122,1,490003264C,"245, 487"
Alperton Station,51.54054,-0.29893,1,490000005A,"224, 297, 483, 83, N83"
Alperton Station,51.54084,-0.29875,1,490000005B,"224, 297, 483, 83, N83"
