station_name,latitude,longitude,mode,lines,station_id
Addiscombe Road,51.37601,-0.09108,,"197, 312, 367, 410, 689",490001089E5
Addiscombe Tram Stop,51.37948,-0.07307,,,4900ZZCRADD0
Addiscombe Tram Stop,51.37981,-0.073242,,"119, 194, 198, 466, Tram",940GZZCRADD
Addiscombe Tram Stop,51.38005,-0.07382,,"289, 312, 367, 689",490002002B
Addiscombe Tram Stop,51.38044,-0.07245,,"289, 312, 367, 689",490002002A
Addison Road,51.58317,-0.00725,,"W12, W16",490003107S
Addison Road,51.58324,-0.00746,,"W12, W16",490003107N
Addison Way,51.58793,-0.19977,,"102, 13, 460",490003108S
Adelaide Avenue / Montague Avenue,51.45902,-0.02885,,122,490009988E
Adelaide Avenue / St Margaret's Road,51.45904,-0.03118,,122,490009988W1
Adelaide Grove,51.50637,-0.23676,,"207, 228, 260, 283, N207, SL8",490003110W
Adelaide Grove,51.50652,-0.23751,,"207, 228, 260, 283, N207, SL8",490003110E
Adelaide Road,51.4993,-0.38279,,"120, E5",490014608C
Adelphi Crescent,51.53245,-0.42294,,"195, U7",490003111N
Adelphi Crescent,51.53338,-0.42503,,"195, U7",490003111S
Adelphi Way,51.53204,-0.42196,,"195, U7",490003113S
Aden Grove,51.55333,-0.08802,,"141, 341",490003114S
Aden Grove,51.55372,-0.08848,,"141, 341",490009055N
Adley Street,51.55015,-0.03408,,"236, 276, 308, W15",490003222E
Admirals Way,51.5006,-0.01971,,D8,490002074E
Admirals Way,51.50061,-0.02019,,D8,490002074W
Adrienne Avenue,51.53265,-0.37277,,"120, 282, E6, E7, E9, N7",490003116S
Adrienne Avenue,51.53275,-0.37287,,"120, 282, E6, E7, E9, N7",490003116E
Aerodrome Road / Colindale Gardens,51.5959,-0.24528,,"125, 186",490017849E
Aerodrome Road / Colindale Gardens,51.59591,-0.24659,,"125, 186",490017849W
Agar Grove,51.54329,-0.12765,,274,490003119W
Agar Grove / Maiden Lane,51.54271,-0.1259,,390,490003074N
Agar Grove Estate,51.54254,-0.13417,,274,490003120E
Agar Grove Estate,51.54263,-0.13345,,274,490003120W
Agate Close,51.53319,-0.28568,,,490020359E
Ainslie Wood Road,51.61219,-0.01785,,"158, 215, 357, 385, 397, 657, 97, N26",490003124S
Aintree Avenue,51.53201,0.04877,,"115, 147, 5, 58, N15",490003126W
Aintree Crescent,51.59423,0.0814,,169,490003127W
Aintree Crescent,51.59432,0.08159,,169,490003127E
Aintree Road,51.53995,-0.31489,,297,490003128W
Aintree Road,51.53997,-0.31437,,297,490003128E
Airport House,51.35628,-0.11664,,"119, 289, 439",490003130N
Aitken Road,51.64656,-0.22315,,384,490018830Z
Ajax Avenue,51.5938,-0.25291,,"204, 303, 632, 642, N5",490003132CC
Ajax Avenue,51.59415,-0.25223,,"204, 303, 632, 642, N5",490005786CD
Al-Emaan Centre / Keston Mosque,51.36727,0.03746,,"353, 654, 664",490008681W
Al-Emaan Centre / Keston Mosque,51.36746,0.03596,,"353, 654, 664",490010989E
Albany Leisure Centre,51.66791,-0.04179,,"121, 279, N279",490003136N
Albany Leisure Centre,51.66882,-0.04128,,"121, 279, N279",490003140S
Albany Park Avenue,51.66577,-0.03772,,191,490003145W
Albany Park Avenue,51.66578,-0.03646,,191,490003145E
Albany Park Rail Station,51.435453,0.125737,,"269, 669, B14, Southeastern",910GALBNYPK
Albany Park Station,51.43507,0.12596,,,4900ALBNYPK1
Albany Park Station,51.43568,0.12606,,,4900ALBNYPK0
Albany Road,51.41969,0.06598,,"161, 273, 638, N136",490003139H
Albany Road,51.48618,-0.29979,,"235, 65, N65",490003137X
Albany Road,51.48658,-0.29989,,"235, 65, N65",490003137V
Albany Road,51.5727,0.14558,,"86, N86",490007654W
Albany Road / Camberwell Road,51.48233,-0.09312,,42,490003138W
Albany Road / Camberwell Road,51.48252,-0.09249,,42,490003138E
Albany Road / Green Lane,51.42123,0.06792,,"160, 162, 61, R7",490003142B
Albany Road / Wells Way,51.48413,-0.08518,,"136, 343, 42, N343",490003143W
Albany Road / Wells Way,51.48424,-0.08526,,"136, 343, 42, N343",490003143E
Albany Street,51.52436,-0.14446,,88,490013600C
Albatross Close,51.51844,0.05995,,"101, 104, 173, 300, 474, 673",490003747S
Albatross Close,51.5195,0.05951,,"101, 104, 173, 300, 474, 673",490003747N
Albemarle,51.44212,-0.22347,,93,490003146S
Albemarle,51.44274,-0.22343,,93,490003146N
Albemarle Road,51.40725,-0.00494,,227,490003147W
Albemarle Road,51.40734,-0.00501,,227,490003147E
Albert Bridge / Cadogan Pier,51.48316,-0.16867,,170,490003152E
Albert Bridge / Cadogan Pier,51.48345,-0.16614,,170,490003152W
Albert Carr Gardens,51.42319,-0.12858,,249,490003153W
Albert Carr Gardens,51.42336,-0.12838,,249,490003153E
Albert Grove,51.41513,-0.21935,,"131, 57, N87",490003155W
Albert Grove,51.41518,-0.21949,,"131, 57, N87",490003155E
Albert Road,51.51122,-0.47091,,350,490003159D
Albert Road,51.51134,-0.4714,,350,490003159C
Albert Road,51.57029,-0.11428,,"210, 310, W3, W7",490003160CT
Albert Road,51.57209,0.19067,,"165, 193, 294, 674",490015118W
Albert Road,51.57237,0.19231,,"165, 193, 294, 674",490015118E
Albert Road,51.5754,0.1883,,"370, 496, 649, 650",490003157W
Albert Road,51.57578,0.18921,,"370, 496, 649, 650",490003157E
Albert Road,51.60167,-0.1316,,"102, 184, 299",490003158S
Albert Road,51.60239,-0.13098,,"102, 184, 299",490003158N
Albert Road / Nuxley Road,51.48154,0.14439,,401,490012593N
Albert Square,51.47626,-0.11849,,"155, 333, N155",490003164N
Albert Square,51.47695,-0.11742,,"155, 333, N155",490003164S
Albert Terrace / London Zoo,51.53788,-0.15498,,274,490009291B
Albion Road,51.41356,-0.27319,,57,490003166E
Albion Road,51.4136,-0.27232,,57,490003166W
Albion Road,51.45589,0.14212,,,490020014NE
Albion Road,51.55248,-0.08609,,"141, 341",490010224S3
Albury Avenue,51.345674,-0.227587,,S2,40004406047B
Albury Avenue,51.345724,-0.227915,,S2,40004406047A
Albury Close,51.42311,-0.36735,,R70,490003167E
Albury Close,51.42314,-0.36886,,R70,490003167W
Albury Drive,51.6044,-0.39802,,H13,490003168N
Albury Drive,51.60487,-0.39782,,H13,490003168S
Albyfield,51.39905,0.05477,,R7,490018904W
Albyns Close,51.53559,0.19676,,"165, 365, 372, 652",490003169S
Alcock Road,51.48185,-0.39554,,H28,490016382N
Alcock Road,51.48244,-0.39464,,H28,490016382W
Aldborough Road,51.541,0.16554,,"103, 364",490009581S
Aldborough Road North,51.57756,0.09832,,"296, 396, 66",490003171E
Aldborough Road South,51.56276,0.09082,,"86, N86",490011999E
Aldborough Road South,51.5777,0.09912,,"296, 396, 66",490019701NU
Aldenham Drive,51.52714,-0.451,,U2,490003173S
Aldenham Drive,51.52746,-0.45078,,U2,490003173N
Aldenham Street,51.53158,-0.13554,,"1, 253, N20, N253, N5",490003174N
Aldenham Street,51.53199,-0.13576,,"1, 253, N20, N253, N5",490003174S
Alder Grove,51.56622,-0.23407,,"16, 182, 245",49003271DD
Alder Grove,51.5665,-0.23377,,"16, 182, 245",490005476N
Alderbrook Road,51.4492,-0.14794,,"155, 249, 355, N155",490003175S
Alderbrook Road,51.44933,-0.1481,,"155, 249, 355, N155",490003175N
Aldercroft,51.31617,-0.12852,,404,49003176N1
Alderman Avenue,51.52697,0.11291,,"EL1, EL2",490003177E
Alderman Avenue,51.52711,0.11195,,"EL1, EL2",490003177W
Alderney Gardens,51.54492,-0.3729,,"120, 140, 282, 90, N140, N7",490003178W
Alderney Street,51.48792,-0.13961,,"24, 360, C10",490003179S
Aldersgate Street,51.51865,-0.0972,,"4, 56",490010130N
Alderson Street,51.52626,-0.2111,,23,490003183E
Aldgate Bus Station,51.51386,-0.07532,,"115, 242, 254, N253, N551",490003184L
Aldgate East Station,51.51465,-0.07321,,"115, 135, 15, 205, 242, 25, 254, N15, N205, N25, N253, N550",490000004W
Aldgate East Station,51.51492,-0.07151,,,490000004Y
Aldgate East Station,51.51532,-0.07024,,"115, 135, 15, N15, N550",490000004Z
Aldgate East Station,51.5155,-0.07143,,"205, 25, 254, N205, N25, N253",490000004E
Aldgate East Station,51.51572,-0.07238,,242,490000004N
Aldgate East Station,51.51577,-0.07217,,242,490019414S
Aldgate East Underground Station,51.515037,-0.072384,tube,"205, 25, 254, District, Hammersmith & City, N205, N25, N253",940GZZLUADE
Aldgate Station,51.51356,-0.07536,,343,490000003DS
Aldgate Station,51.51408,-0.07493,,"100, 115, 15, 242, 25, 254, 343, 42, 78, N15, N25, N253, N550, N551",490000003R
Aldgate Station,51.514293,-0.074735,,"25, N25, N550",490000003Y
Aldgate Underground Station,51.514246,-0.075689,tube,"100, 135, 15, 205, 25, 42, 78, Circle, Metropolitan, N15, N205, N25, N550, N551",940GZZLUALD
Aldingham Gardens,51.54463,0.19546,,"165, 365, 372",490003185G
Aldingham Gardens,51.54518,0.19592,,"165, 365, 372",490003185F
Aldridge Avenue,51.62631,-0.26899,,288,490003188W
Aldrington Road,51.42502,-0.14066,,"201, 333, 57",490003189N
Aldrington Road,51.42506,-0.14034,,"201, 333, 57",490003189S
Aldrington Road / North,51.42924,-0.13997,,G1,490002346HS
Aldrington Road / North,51.42956,-0.14007,,G1,490002346HN
Aldwych,51.51192,-0.11912,,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89",490015764E
Aldwych,51.5127,-0.11859,,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89",490003191D
Aldwych / Australia House,51.51306,-0.11543,,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89",490000293Z
Aldwych / Bush House,51.51319,-0.11701,,"23, 87, 9, N155, N44, N87, N9",490000372Z
Aldwych / Drury Lane,51.51226,-0.11881,,"1, 172, 188, 243, 341, 59, 68, 76, N1, N171, N68, SL6",490019703Z
Aldwych / Drury Lane,51.51278,-0.11831,,"1, 15, 172, 188, 23, 243, 26, 341, 59, 68, 76, 87, 9, 91, N1, N15, N155, N171, N199, N21, N26, N44, N550, N551, N68, N87, N89, N9, N91, SL6",490019703Y
Aldwych / Drury Lane,51.51283,-0.11841,,"172, 23, 243, 59, 87, 9, N155, N44, N87, N9",490019703E
Aldwych / Kingsway,51.51314,-0.11795,,"1, 188, 68, 91, N1, N171, N68, N91, SL6",490003191F
Aldwych Avenue,51.58076,0.084,,169,490003194S
Aldwych Avenue,51.58166,0.08408,,169,490003194N
Alers Road,51.45225,0.12865,,B13,490000500ZZ
Alers Road,51.45241,0.12808,,B13,490000500YY
Alexander Court,51.45749,-0.18154,,219,490003200N
Alexander Road,51.56168,-0.12466,,"17, 263, 43, N271, N41",490003201S
Alexander Road / Coulsdon,51.32102,-0.15579,,463,490000921Y
Alexander Road / Coulsdon,51.32121,-0.15574,,"463, 633",490000921Z
Alexandra Avenue,51.37015,-0.20308,,"613, 80",490003202N1
Alexandra Avenue,51.37046,-0.20369,,"613, 80",490003202N2
Alexandra Avenue,51.48209,-0.25809,,"190, 533",490004598N
Alexandra Avenue,51.5113,-0.37773,,"207, 427, N207",490012241I
Alexandra Avenue,51.56394,-0.36596,,"114, H9",490013683E
Alexandra Avenue,51.56417,-0.36452,,"114, 398, H10, H9",490013683W
Alexandra Avenue,51.5726,-0.36996,,H12,490003204F
Alexandra Avenue / Alexandra Palace,51.59829,-0.12665,,184,490002360HW
Alexandra Avenue / Alexandra Palace,51.59846,-0.12613,,184,490002360HE
Alexandra Avenue Health Centre,51.56746,-0.36885,,398,490003220N
Alexandra Avenue Health Centre,51.56786,-0.36857,,398,490003220S
Alexandra Gardens,51.48095,-0.25891,,"190, 533, E3",490003206S
Alexandra Grove,51.56738,-0.10026,,"253, 254, 259, 29, 310, N253, N279, N29",490003208S
Alexandra Grove,51.568,-0.09975,,"253, 254, 259, 29, 310, N253, N279, N29",490003208E
Alexandra Palace Garden Centre,51.59234,-0.13392,,W3,490003210S
Alexandra Palace Garden Centre,51.59238,-0.13421,,W3,490003210N
Alexandra Palace Ice Rink,51.59364,-0.12998,,W3,490003198S
Alexandra Palace Ice Rink,51.59532,-0.12786,,W3,490003198N
Alexandra Palace Palm Court,51.5931,-0.13304,,W3,490003199S
Alexandra Palace Palm Court,51.59318,-0.13298,,W3,490003199E
Alexandra Palace Park,51.596,-0.12426,,W3,490003196E
Alexandra Palace Park,51.59603,-0.12485,,W3,490003196W
Alexandra Palace Station,51.59809,-0.11964,,"184, W3",490001005D
Alexandra Palace Station,51.59828,-0.12002,,"184, W3",490001005C
Alexandra Park Road,51.59604,-0.14519,,"134, 43, 634",490003212S
Alexandra Park Road,51.5962,-0.14544,,"134, 43, 634",490003212N
Alexandra Park Road / Alexandra Palace,51.59883,-0.12245,,184,490018814E
Alexandra Park Road / Alexandra Palace,51.59907,-0.13591,,184,490018813W
Alexandra Place,51.38144,-0.08846,,410,490003214N
Alexandra Place,51.38197,-0.08814,,410,490003214S
Alexandra Road,51.41794,-0.28908,,371,490003215N
Alexandra Road,51.41813,-0.28873,,371,490003215S
Alexandra Road,51.53017,0.1908,,"165, 365, 372, 652",490003216S
Alexandra Road,51.53051,0.19068,,"165, 365, 372, 652",490003216N
Alexandra Road,51.58979,-0.2164,,"125, 143, 326, 643, 653, 683",490003218W
Alexandra Road,51.59008,-0.21503,,"125, 143, 326, 643, 653, 683",490003218E
Alexandra Road,51.60895,-0.14309,,232,490003217W
Alexandra Road,51.60943,-0.14246,,232,490003217E
Alexandra Road,51.64734,-0.03936,,"191, 313, 491",490003082E
Alexandra Road,51.64773,-0.03703,,191,490015127W
Alexandra Road / Wimbledon,51.42181,-0.20697,,"156, 493, N87",490014734B
Alexandra Road / Wimbledon,51.42203,-0.20689,,"156, 493, N87",490014734A
Alford House,51.57738,-0.13729,,W5,490000410Z
Alford Road,51.48415,0.16466,,99,490013473N
Alford Road,51.48423,0.16486,,99,490013473S
Alfred Road,51.627235,0.05021,,"167, 677",150042019001
Alfred Road,51.627253,0.049719,,"167, 677",150042019002
Algar Court,51.41383,-0.36359,,"111, 216",490003224E
Algernon Road,51.45786,-0.02044,,484,490003225N
Alice Lane,51.53405,-0.0335,,"8, N8",490012461N
Alice Lane,51.53462,-0.03376,,"8, N8",490012461S
All Hallows Church,51.51669,-0.08478,,"100, 153, 21, 43",490003172A
All Hallows Road,51.59898,-0.07736,,318,490009361N
All Hallows Road,51.59905,-0.07683,,318,490003235S
All Saints,51.51113,-0.01291,,,4900ZZDLALL1
All Saints,51.5112,-0.01311,,,4900ZZDLALL2
All Saints Church,51.302107,-0.329914,,465,40004408188A
All Saints Church,51.302408,-0.329587,,465,40004408188B
All Saints Church,51.41087,-0.0863,,249,490015128S
All Saints Church,51.41138,-0.08602,,249,490015128E
All Saints Church,51.47813,0.06607,,386,490003243N
All Saints Church,51.48339,0.1474,,"401, 601",490003247S
All Saints Church,51.62613,-0.06547,,"616, W8",490003245W
All Saints Church,51.62635,-0.06591,,"616, W8",490003245E
All Saints Church / Clarence Street,51.41098,-0.30605,,411,490003249P3
All Saints DLR Station,51.511,-0.013135,dlr,"108, 115, 15, 309, D6, D7, D8, DLR, N15, N551",940GZZDLALL
All Saints Mews,51.61175,-0.33485,,"340, 640, H12, H19",490003251W
All Saints Mews,51.61202,-0.33435,,"340, 640, H12, H18, H19",490003251E
All Saints Road,51.50196,-0.27003,,440,490003252E1
All Saints School,51.307185,-0.331595,,465,40004408189B
All Saints School,51.307487,-0.331957,,465,40004408189A
All Souls Avenue,51.53373,-0.23432,,187,490003257S1
All Souls Avenue,51.53385,-0.23338,,187,490003257S2
All Souls Avenue,51.54035,-0.22512,,"302, 52, 6",490003256S
All Souls Avenue,51.54101,-0.22588,,"302, 52, 6",490003256N
Allan Way,51.5238,-0.26635,,,490003228W
Allandale Avenue,51.59192,-0.1994,,"13, 460",490005488S
Allandale Avenue,51.59231,-0.19958,,"13, 460",490005488N
Allen Road,51.52105,0.20905,,"165, 287, 652",490003232W
Allen Road,51.52134,0.20977,,"165, 287, 652",490003232E
Allenby Road,51.51953,-0.36804,,105,490005613S
Allenby Road,51.51957,-0.3685,,105,490005613N
Allendale Road,51.55079,-0.32065,,"487, H17",490003231E
Alleyn Road,51.43002,-0.08875,,"3, N3",490003233N
Alliance Road,51.5264,-0.27719,,"487, 95",490003236W
Allington Road,51.53215,-0.21053,,"187, 316, 6",490003237E
Allington Road / Andover Road,51.37709,0.08272,,R7,490003239S
Allington Road / Andover Road,51.37722,0.0827,,R7,490003239N
Allington Road / Crofton Road,51.37306,0.08218,,R7,490005791S
Allington Road / Crofton Road,51.37334,0.08195,,R7,490005791N
Allison Grove,51.44212,-0.08097,,"P13, P4",490003240W
Alloa Road,51.48713,-0.04328,,225,490003241N
Alloa Road,51.48779,-0.04369,,225,490003241S
Alma Avenue,51.55465,0.22979,,193,490003258S
Alma Avenue,51.55513,0.22974,,193,490003258N
Almington Street,51.56845,-0.11939,,"210, 310",490003261E
Almington Street,51.56886,-0.11833,,"210, 310",490003261W
Almond Way,51.38229,0.05666,,R3,490003262HW
Almond Way,51.38238,0.05655,,R3,490003262W
Alnwick Road / Mottingham Lane,51.44373,0.02901,,B15,490018683SE
Alperton Lane,51.53208,-0.31153,,95,490003265W
Alperton Lane,51.5321,-0.30996,,95,490003265E
Alperton Sainsbury's,51.53802,-0.30235,,"224, 245, 297, 83",490003268E1
Alperton Sainsbury's,51.53802,-0.3021,,224,490003268E2
Alperton Sainsbury's / Athlon Road,51.5379,-0.30258,,"224, 245, 297, 83",490003268W2
Alperton Station,51.54032,-0.30139,,"245, 487",490003264D
Alperton Station,51.54044,-0.30122,,"245, 487",490003264C
Alperton Station,51.54054,-0.29893,,"224, 297, 483, 83, N83",490000005A
Alperton Station,51.54084,-0.29875,,"224, 297, 483, 83, N83",490000005B
Alperton Underground Station,51.540627,-0.29961,tube,"224, 79, Piccadilly",940GZZLUALP
Alpha Close,51.52709,-0.16415,,"113, 13, 274, N113",490003269N
Alpha Close,51.52756,-0.16467,,"113, 13, 274, N113",490003269S
Alpha Place,51.3828,-0.22324,,293,490016460S
Alpha Place,51.38395,-0.22467,,293,490016460N
Alpha Road,51.61981,-0.01723,,"215, 397, 97, N26",490003270A
Alpha Road,51.62024,-0.01701,,"215, 397, 97, N26",490003270B
Alsace Road,51.48706,-0.08445,,"136, 343, 42, N343",490003274S
Alsace Road,51.48727,-0.08489,,"136, 343, 42, N343",490003274N
Alscot Road,51.49362,-0.07444,,"1, 78, N1",490003275W
Alscot Road,51.49368,-0.07436,,"1, 78, N1",490003275E
Alston Road,51.6587,-0.2049,,,490005225S
Alston Road High Barnet,51.65585,-0.20847,,384,490003277E
Alston Road High Barnet,51.6562,-0.20749,,384,490003277W
