id,naptanId,commonName,lat,lon,modes,lines
490003039G,490003039G,Abbey Wood Road,51.48936,0.12143,bus,"B11, 244, 229, 301, 669, 602, 472, 469"
490G000378,490G000378,Abbey Wood Road,51.48934,0.12118,bus,"469, 472, 602, 669, 301, 229, 244, B11"
490001001Y,490001001Y,Abbey Wood Station,51.49163,0.12143,bus,"669, 469, 472, 602, 229, 244, 301, 180, N1, B11, SL3"
490003043W,490003043W,Abbots Gardens,51.58919,-0.16985,bus,"653, 143, N20, H3"
490G00003043,490G00003043,Abbots Gardens,51.58919,-0.16985,bus,"H3, N20, 143, 653"
4900R0049J,4900R0049J,Abbots Lane,51.50418,-0.08188,bus,"381, 47, N199, 343"
490G00018666,490G00018666,Abbots Lane,51.50418,-0.08188,bus,"47, N199, 381, 343"
490014306N1,490014306N1,Abbots Road,51.6079,-0.26537,bus,
490G00014312,490G00014312,Abbots Road,51.6079,-0.26537,bus,
490003046S,490003046S,Abbots Way,51.39323,-0.04143,bus,"194, 358, 356"
490003046W,490003046W,Abbots Way,51.39312,-0.04109,bus,"356, 358, 194"
490G00003046,490G00003046,Abbots Way,51.39312,-0.04109,bus,"194, 358, 356"
490010026N1,490010026N1,Abbotsbury Road,51.39545,-0.19323,bus,470
490010026S2,490010026S2,Abbotsbury Road,51.39513,-0.19282,bus,470
490G00010026,490G00010026,Abbotsbury Road,51.39513,-0.19282,bus,470
490003042N,490003042N,Abbotsford Avenue,51.58448,-0.08994,bus,"67, 341"
490003042S,490003042S,Abbotsford Avenue,51.58407,-0.09012,bus,"341, 67"
490G00003042,490G00003042,Abbotsford Avenue,51.58407,-0.09012,bus,"341, 67"
490003047E,490003047E,Abbott Road,51.51281,-0.00104,bus,"115, N551, N15"
490003047W,490003047W,Abbott Road,51.51254,-0.00093,bus,"N15, N551, 115"
490003315I,490003315I,Abbott Road,51.51466,-0.00819,bus,D8
490G00003315,490G00003315,Abbott Road,51.51466,-0.00819,bus,D8
490G00020304,490G00020304,Abbott Road,51.51281,-0.00104,bus,"115, N15, N551"
490010341G,490010341G,Abbotts Road,51.51192,-0.38252,bus,"N207, 207, 427"
490G00010344,490G00010344,Abbotts Road,51.51192,-0.38252,bus,"427, 207, N207"
490003050E,490003050E,Abbs Cross Academy,51.55362,0.20641,bus,"365, 372, 165"
490003050W,490003050W,Abbs Cross Academy,51.55342,0.2062,bus,"165, 372, 365"
490G00003050,490G00003050,Abbs Cross Academy,51.55342,0.2062,bus,"365, 372, 165"
490003049S,490003049S,Abbs Cross Gardens,51.56228,0.21257,bus,"165, 372, 365"
490G00018963,490G00018963,Abbs Cross Gardens,51.56228,0.21257,bus,"365, 165, 372"
490003049E,490003049E,Abbs Cross Lane,51.56309,0.21461,bus,"372, 165, 248, 193"
490003049W,490003049W,Abbs Cross Lane,51.5628,0.21169,bus,"248, 365, 193"
490G00003049,490G00003049,Abbs Cross Lane,51.56309,0.21461,bus,"248, 193, 365, 372, 165"
490010060W,490010060W,Aberconway Road,51.40146,-0.19104,bus,"157, N133, 45, 470"
490G00010060,490G00010060,Aberconway Road,51.40146,-0.19104,bus,"45, 470, 157, N133"
490003051E,490003051E,Abercorn Road,51.60599,-0.307,bus,186
490003051W,490003051W,Abercorn Road,51.60603,-0.30629,bus,186
490003052N,490003052N,Abercorn Road,51.60664,-0.20706,bus,221
490G00003051,490G00003051,Abercorn Road,51.60603,-0.30629,bus,186
490G00003052,490G00003052,Abercorn Road,51.60664,-0.20706,bus,221
490003053N,490003053N,Aberdeen Park,51.55056,-0.09823,bus,"236, 263, 19, 4, N19"
490G00003053,490G00003053,Aberdeen Park,51.55056,-0.09823,bus,"N19, 19, 4, 263, 236"
490003054E,490003054E,Aberdeen Road,51.55308,-0.24184,bus,226
490003054W,490003054W,Aberdeen Road,51.55306,-0.2425,bus,226
490013269S,490013269S,Aberdeen Road,51.36589,-0.09897,bus,"405, 407, 412, 468, 466, 60, 645, 119, 166, N68, 312"
490G00003054,490G00003054,Aberdeen Road,51.55306,-0.2425,bus,226
490G00013269,490G00013269,Aberdeen Road,51.36589,-0.09897,bus,"466, 468, N68, 119, 166, 60, 645, 312, 412, 405, 407"
490003057S2,490003057S2,Aberfoyle Road,51.41725,-0.1369,bus,"45, 60, N133"
490003059E,490003059E,Abingdon Street,51.49759,-0.12561,bus,"N87, 87"
490G00003059,490G00003059,Abingdon Street,51.49759,-0.12561,bus,"87, N87"
490007585E,490007585E,Abinger Grove,51.48355,-0.03112,bus,"N199, N1, 188, 199, 47"
490007585W,490007585W,Abinger Grove,51.48364,-0.03149,bus,"47, 199, 188, N1, N199"
490G00007585,490G00007585,Abinger Grove,51.48355,-0.03112,bus,"N199, N1, 188, 199, 47"
490003060E,490003060E,Abinger Road,51.49697,-0.24967,bus,"272, 94"
490003060W,490003060W,Abinger Road,51.49679,-0.25005,bus,"94, 272"
490G00003060,490G00003060,Abinger Road,51.49697,-0.24967,bus,"272, 94"
490004202E,490004202E,Abney Park,51.56226,-0.07828,bus,"73, 476, 393, N73"
490004202W,490004202W,Abney Park,51.56218,-0.07801,bus,"N73, 393, 476, 73"
490G00004202,490G00004202,Abney Park,51.56218,-0.07801,bus,"73, 393, 476, N73"
490007991E,490007991E,Aboyne Road,51.56407,-0.25154,bus,112
490G000116,490G000116,Aboyne Road,51.56407,-0.25154,bus,112
490003063N,490003063N,Acacia Road,51.51368,-0.26979,bus,"440, N266, 266"
490003063S,490003063S,Acacia Road,51.51305,-0.27003,bus,"266, N266, 440"
490003064E1,490003064E1,Acacia Road,51.42592,-0.37204,bus,"R70, 111"
490003064W,490003064W,Acacia Road,51.42588,-0.37256,bus,111
490018877N,490018877N,Acacia Road,51.40679,-0.15385,bus,"633, 463"
490018877S,490018877S,Acacia Road,51.40667,-0.1536,bus,"463, 633"
490G00003063,490G00003063,Acacia Road,51.51305,-0.27003,bus,"266, 440, N266"
490G00003064,490G00003064,Acacia Road,51.42588,-0.37256,bus,"111, R70"
490G00018877,490G00018877,Acacia Road,51.40667,-0.1536,bus,"633, 463"
490012108N,490012108N,Academy Road / Shooters Hill Road,51.47201,0.05506,bus,122
490G00019674,490G00019674,Academy Road / Shooters Hill Road,51.47201,0.05506,bus,122
490003066E,490003066E,Acer Avenue,51.52283,0.21783,bus,"165, 287, 652"
490003066W,490003066W,Acer Avenue,51.52272,0.21748,bus,"652, 165, 287"
490G00003066,490G00003066,Acer Avenue,51.52272,0.21748,bus,"287, 165, 652"
490013846N,490013846N,Ackroyd Drive,51.51791,-0.03027,bus,"D6, D7, 277, N277"
490016349E,490016349E,Ackroyd Drive,51.52037,-0.02613,bus,323
490016349X,490016349X,Ackroyd Drive,51.5202,-0.02611,bus,323
490G00016349,490G00016349,Ackroyd Drive,51.5202,-0.02611,bus,323
490G000352,490G000352,Ackroyd Drive,51.51791,-0.03027,bus,"D7, D6, N277, 277"
490008592E,490008592E,Acland Burghley School,51.55734,-0.13889,bus,4
490G000615,490G000615,Acland Burghley School,51.55734,-0.13889,bus,4
490003069S,490003069S,Acorn Gardens,51.4098,-0.0812,bus,410
490G00003069,490G00003069,Acorn Gardens,51.4098,-0.0812,bus,410
490001002H,490001002H,Acton Central Station,51.50655,-0.26287,bus,"SL8, N7, N207, N266, 218, 207, 70"
490001002J,490001002J,Acton Central Station,51.50647,-0.26405,bus,"70, 207, 218, N266, N207, N7, SL8"
490003075Q,490003075Q,Acton Fire Station,51.50744,-0.27705,bus,"N11, 70, E3"
490G00003075,490G00003075,Acton Fire Station,51.50744,-0.27705,bus,"E3, N11, 70"
490003076C,490003076C,Acton Green,51.49638,-0.26425,bus,94
490003076W,490003076W,Acton Green,51.4961,-0.26447,bus,94
490G00003076,490G00003076,Acton Green,51.49638,-0.26425,bus,94
490003078S,490003078S,Acton Lane,51.52879,-0.26803,bus,"487, 440, 260"
490003079R,490003079R,Acton Lane,51.53441,-0.24808,bus,"266, 220, 228, 487, N266"
490G00003078,490G00003078,Acton Lane,51.52879,-0.26803,bus,"260, 440, 487"
490G00003079,490G00003079,Acton Lane,51.53441,-0.24808,bus,"266, 220, 228, N266, 487"
490001003H,490001003H,Acton Main Line Station,51.51759,-0.26592,bus,"N266, 266, 440"
490001003J,490001003J,Acton Main Line Station,51.51785,-0.26631,bus,"440, 266, 260, N266"
490000042Z2,490000042Z2,Acton Market Place,51.50852,-0.27148,bus,
490015559M,490015559M,Acton Market Place,51.50914,-0.27173,bus,
490G00003081,490G00003081,Acton Market Place,51.50852,-0.27148,bus,
490003083F,490003083F,Acton Old Town Hall,51.50675,-0.26725,bus,"218, 207, 266, 440, N266, N207, 70, E3, N11, SL8, N7"
490003083G,490003083G,Acton Old Town Hall,51.5067,-0.26891,bus,"SL8, N11, E3, N207, N266, N7, 70, 440, 266, 207, 218"
490003088L,490003088L,Acton Old Town Hall,51.50628,-0.26815,bus,
490G00003083,490G00003083,Acton Old Town Hall,51.5067,-0.26891,bus,"218, 207, 266, 440, 70, N266, E3, N207, N11, N7, SL8"
490003088K,490003088K,Acton Old Town Hall / Salisbury Street,51.50588,-0.2674,bus,266
490G00003088,490G00003088,Acton Old Town Hall / Salisbury Street,51.50588,-0.2674,bus,266
490003084E,490003084E,Acton Park,51.5066,-0.2603,bus,"218, 207, 70, N266, N207, N7"
490003084W,490003084W,Acton Park,51.50637,-0.261,bus,"N207, N266, N7, 70, 207, 218"
490G00003084,490G00003084,Acton Park,51.5066,-0.2603,bus,"218, 207, 70, N266, N7, N207"
490015431N,490015431N,Acton Park / Greenview Close,51.50715,-0.25714,bus,"N7, 70"
490015431S,490015431S,Acton Park / Greenview Close,51.50701,-0.2569,bus,"N7, 70"
490G00015431,490G00015431,Acton Park / Greenview Close,51.50715,-0.25714,bus,"70, N7"
490003087W1,490003087W1,Acton Street,51.52835,-0.11809,bus,"17, 46"
490003087W2,490003087W2,Acton Street,51.52858,-0.11697,bus,"63, N63"
490008771S,490008771S,Acton Street,51.52858,-0.11564,bus,"N63, 63"
490012149N,490012149N,Acton Street,51.52761,-0.11872,bus,"17, 46"
490G00003087,490G00003087,Acton Street,51.52761,-0.11872,bus,"N63, 17, 46, 63"
490000002A,490000002A,Acton Town Station,51.50273,-0.28101,bus,"N11, E3"
490000002B,490000002B,Acton Town Station,51.50402,-0.27986,bus,"E3, N11, 70"
490000002RB7,490000002RB7,Acton Town Station,51.50293,-0.28071,bus,
49000002SE,49000002SE,Acton Town Station,51.5028,-0.27925,bus,
490020303S,490020303S,Acton Town Station  / Enfield Road,51.50233,-0.27886,bus,70
490G00020303,490G00020303,Acton Town Station  / Enfield Road,51.50233,-0.27886,bus,70
490004438E,490004438E,Acton Vale / Bromyard Avenue,51.50679,-0.25241,bus,"272, 207, 218, SL8, N266, N207"
490004438W,490004438W,Acton Vale / Bromyard Avenue,51.50663,-0.25142,bus,"N207, N266, SL8, 218, 207, 272, 306"
490G00004438,490G00004438,Acton Vale / Bromyard Avenue,51.50679,-0.25241,bus,"272, 306, 207, 218, SL8, N266, N207"
490016378E,490016378E,Ada Street,51.53574,-0.06157,bus,394
490G00016378,490G00016378,Ada Street,51.53574,-0.06157,bus,394
490003091S,490003091S,Adamsrill Road,51.43111,-0.03854,bus,356
490G00003091,490G00003091,Adamsrill Road,51.43111,-0.03854,bus,356
490003094E,490003094E,Addington Park,51.35391,-0.03778,bus,"466, 130"
490003094W,490003094W,Addington Park,51.35396,-0.03892,bus,"130, 466"
490G000379,490G000379,Addington Park,51.35396,-0.03892,bus,"466, 130"
490003099N,490003099N,Addington Road / Glebe Way,51.37074,-0.00204,bus,"654, 664, 638, 353, 314, 138, 119, 246"
490003099W,490003099W,Addington Road / Glebe Way,51.37052,-0.0022,bus,"119, 314, 353, 664, 654"
490G00003099,490G00003099,Addington Road / Glebe Way,51.37074,-0.00204,bus,"664, 654, 353, 119, 314, 246, 138, 638"
490003095E,490003095E,Addington Road / Pumping Station,51.36406,-0.01834,bus,"654, 664, 353, 314"
490003095W,490003095W,Addington Road / Pumping Station,51.36391,-0.01843,bus,"654, 664, 314, 353"
490G00003095,490G00003095,Addington Road / Pumping Station,51.36391,-0.01843,bus,"664, 654, 353, 314"
490020287E,490020287E,Addington Street,51.50126,-0.1161,bus,
490G00020287,490G00020287,Addington Street,51.50126,-0.1161,bus,
490003101A,490003101A,Addington Village Interchange,51.35647,-0.03204,bus,"664, 314, 130, 64"
490003101B,490003101B,Addington Village Interchange,51.3565,-0.03211,bus,"314, 353, 664, 654"
490003101C,490003101C,Addington Village Interchange,51.35656,-0.03232,bus,"359, 433, 353"
490003101D,490003101D,Addington Village Interchange,51.35658,-0.03239,bus,"64, 466, 130"
490003101E,490003101E,Addington Village Interchange,51.35639,-0.03257,bus,"466, 654, 433, 359"
490G000380,490G000380,Addington Village Interchange,51.35639,-0.03257,bus,"359, 433, 654, 466, 130, 353, 64, 664, 314"
490001089E5,490001089E5,Addiscombe Road,51.37601,-0.09108,bus,"197, 410, 367, 312, 689"
490G00000279,490G00000279,Addiscombe Road,51.37601,-0.09108,bus,"312, 689, 367, 197, 410"
490002002A,490002002A,Addiscombe Tram Stop,51.38044,-0.07245,bus,"289, 367, 312, 689"
490002002B,490002002B,Addiscombe Tram Stop,51.38005,-0.07382,bus,"689, 312, 367, 289"
490003107N,490003107N,Addison Road,51.58324,-0.00746,bus,"W12, W16"
490003107S,490003107S,Addison Road,51.58317,-0.00725,bus,"W16, W12"
490G00003107,490G00003107,Addison Road,51.58317,-0.00725,bus,"W12, W16"
490003108S,490003108S,Addison Way,51.58793,-0.19977,bus,"460, 13, 102"
490G00003108,490G00003108,Addison Way,51.58793,-0.19977,bus,"102, 13, 460"
490009988E,490009988E,Adelaide Avenue / Montague Avenue,51.45902,-0.02885,bus,122
490G00009988,490G00009988,Adelaide Avenue / Montague Avenue,51.45902,-0.02885,bus,122
490009988W1,490009988W1,Adelaide Avenue / St Margaret's Road,51.45904,-0.03118,bus,122
490G00019405,490G00019405,Adelaide Avenue / St Margaret's Road,51.45904,-0.03118,bus,122
490003110E,490003110E,Adelaide Grove,51.50652,-0.23751,bus,"260, 228, 207, SL8, N207"
490003110W,490003110W,Adelaide Grove,51.50637,-0.23676,bus,"N207, SL8, 260, 283, 207, 228"
490G00003110,490G00003110,Adelaide Grove,51.50652,-0.23751,bus,"228, 207, 260, 283, SL8, N207"
490014608C,490014608C,Adelaide Road,51.4993,-0.38279,bus,"120, E5"
490G00014608,490G00014608,Adelaide Road,51.4993,-0.38279,bus,"E5, 120"
490003111N,490003111N,Adelphi Crescent,51.53245,-0.42294,bus,"195, U7"
490003111S,490003111S,Adelphi Crescent,51.53338,-0.42503,bus,"U7, 195"
490G00003111,490G00003111,Adelphi Crescent,51.53245,-0.42294,bus,"195, U7"
490003113S,490003113S,Adelphi Way,51.53204,-0.42196,bus,"195, U7"
490G00003113,490G00003113,Adelphi Way,51.53204,-0.42196,bus,"U7, 195"
490003114S,490003114S,Aden Grove,51.55333,-0.08802,bus,"141, 341"
490009055N,490009055N,Aden Grove,51.55372,-0.08848,bus,"141, 341"
490G00003114,490G00003114,Aden Grove,51.55333,-0.08802,bus,"341, 141"
490003222E,490003222E,Adley Street,51.55015,-0.03408,bus,"308, W15, 236, 276"
490G00003222,490G00003222,Adley Street,51.55015,-0.03408,bus,"276, 308, W15, 236"
490002074E,490002074E,Admirals Way,51.5006,-0.01971,bus,D8
490002074W,490002074W,Admirals Way,51.50061,-0.02019,bus,D8
490G000926,490G000926,Admirals Way,51.5006,-0.01971,bus,D8
490003116E,490003116E,Adrienne Avenue,51.53275,-0.37287,bus,"120, 282, N7, E6, E7, E9"
490003116S,490003116S,Adrienne Avenue,51.53265,-0.37277,bus,"E9, E6, E7, N7, 282, 120"
490G00003116,490G00003116,Adrienne Avenue,51.53265,-0.37277,bus,"120, N7, 282, E6, E9, E7"
490017849E,490017849E,Aerodrome Road / Colindale Gardens,51.5959,-0.24528,bus,"186, 125"
490017849W,490017849W,Aerodrome Road / Colindale Gardens,51.59591,-0.24659,bus,"125, 186"
490G00017849,490G00017849,Aerodrome Road / Colindale Gardens,51.5959,-0.24528,bus,"125, 186"
490003119W,490003119W,Agar Grove,51.54329,-0.12765,bus,274
490G00003119,490G00003119,Agar Grove,51.54329,-0.12765,bus,274
490003074N,490003074N,Agar Grove / Maiden Lane,51.54271,-0.1259,bus,390
490G00003074,490G00003074,Agar Grove / Maiden Lane,51.54271,-0.1259,bus,390
490003120E,490003120E,Agar Grove Estate,51.54254,-0.13417,bus,274
490003120W,490003120W,Agar Grove Estate,51.54263,-0.13345,bus,274
490G00003120,490G00003120,Agar Grove Estate,51.54254,-0.13417,bus,274
490020359E,490020359E,Agate Close,51.53319,-0.28568,bus,
490G00020359,490G00020359,Agate Close,51.53319,-0.28568,bus,
490003124S,490003124S,Ainslie Wood Road,51.61219,-0.01785,bus,"215, 158, 385, 397, 357, 657, N26, 97"
490G00003124,490G00003124,Ainslie Wood Road,51.61219,-0.01785,bus,"97, N26, 357, 385, 397, 657, 158, 215"
490003126W,490003126W,Aintree Avenue,51.53201,0.04877,bus,"N15, 58, 115, 5, 147"
490G00003126,490G00003126,Aintree Avenue,51.53201,0.04877,bus,"5, 58, 115, 147, N15"
490003127E,490003127E,Aintree Crescent,51.59432,0.08159,bus,169
490003127W,490003127W,Aintree Crescent,51.59423,0.0814,bus,169
490G00003127,490G00003127,Aintree Crescent,51.59432,0.08159,bus,169
490003128E,490003128E,Aintree Road,51.53997,-0.31437,bus,297
490003128W,490003128W,Aintree Road,51.53995,-0.31489,bus,297
490G00003128,490G00003128,Aintree Road,51.53997,-0.31437,bus,297
490003130N,490003130N,Airport House,51.35628,-0.11664,bus,"289, 119, 439"
490G00003130,490G00003130,Airport House,51.35628,-0.11664,bus,"439, 119, 289"
490018830Z,490018830Z,Aitken Road,51.64656,-0.22315,bus,384
490G00018830,490G00018830,Aitken Road,51.64656,-0.22315,bus,384
490003132CC,490003132CC,Ajax Avenue,51.5938,-0.25291,bus,"303, 632, 642, 204, N5"
490005786CD,490005786CD,Ajax Avenue,51.59415,-0.25223,bus,"303, 632, 642, 204, N5"
490G00003132,490G00003132,Ajax Avenue,51.5938,-0.25291,bus,"N5, 204, 642, 632, 303"
490003136N,490003136N,Albany Leisure Centre,51.66791,-0.04179,bus,"N279, 121, 279"
490003140S,490003140S,Albany Leisure Centre,51.66882,-0.04128,bus,"N279, 121, 279"
490G00003140,490G00003140,Albany Leisure Centre,51.66791,-0.04179,bus,"279, 121, N279"
490003145E,490003145E,Albany Park Avenue,51.66578,-0.03646,bus,191
490003145W,490003145W,Albany Park Avenue,51.66577,-0.03772,bus,191
490G00003145,490G00003145,Albany Park Avenue,51.66577,-0.03772,bus,191
490003137V,490003137V,Albany Road,51.48658,-0.29989,bus,"235, 65, N65"
490003137X,490003137X,Albany Road,51.48618,-0.29979,bus,"N65, 65, 235"
490003139H,490003139H,Albany Road,51.41969,0.06598,bus,"N136, 161, 638, 273"
490007654W,490007654W,Albany Road,51.5727,0.14558,bus,"N86, 86"
490G00003137,490G00003137,Albany Road,51.48658,-0.29989,bus,"235, 65, N65"
490G00003139,490G00003139,Albany Road,51.41969,0.06598,bus,"273, 638, 161, N136"
490G00007659,490G00007659,Albany Road,51.5727,0.14558,bus,"86, N86"
490003138E,490003138E,Albany Road / Camberwell Road,51.48252,-0.09249,bus,42
490003138W,490003138W,Albany Road / Camberwell Road,51.48233,-0.09312,bus,42
490G00018967,490G00018967,Albany Road / Camberwell Road,51.48233,-0.09312,bus,42
490003142B,490003142B,Albany Road / Green Lane,51.42123,0.06792,bus,"162, 160, 61, R7"
490G00003142,490G00003142,Albany Road / Green Lane,51.42123,0.06792,bus,"R7, 61, 160, 162"
490003143E,490003143E,Albany Road / Wells Way,51.48424,-0.08526,bus,"N343, 42, 343, 136"
490003143W,490003143W,Albany Road / Wells Way,51.48413,-0.08518,bus,"136, 343, 42, N343"
490G00003143,490G00003143,Albany Road / Wells Way,51.48424,-0.08526,bus,"N343, 343, 42, 136"
490013600C,490013600C,Albany Street,51.52436,-0.14446,bus,88
490G00013600,490G00013600,Albany Street,51.52436,-0.14446,bus,88
490003747N,490003747N,Albatross Close,51.5195,0.05951,bus,"173, 104, 101, 300, 474"
490003747S,490003747S,Albatross Close,51.51844,0.05995,bus,"474, 673, 300, 101, 104, 173"
490G00003747,490G00003747,Albatross Close,51.51844,0.05995,bus,"173, 104, 101, 300, 474, 673"
490003146N,490003146N,Albemarle,51.44274,-0.22343,bus,93
490003146S,490003146S,Albemarle,51.44212,-0.22347,bus,93
490G00003146,490G00003146,Albemarle,51.44274,-0.22343,bus,93
490003147E,490003147E,Albemarle Road,51.40734,-0.00501,bus,227
490003147W,490003147W,Albemarle Road,51.40725,-0.00494,bus,227
490G00003147,490G00003147,Albemarle Road,51.40725,-0.00494,bus,227
490003152E,490003152E,Albert Bridge / Cadogan Pier,51.48316,-0.16867,bus,170
490003152W,490003152W,Albert Bridge / Cadogan Pier,51.48345,-0.16614,bus,170
490G000381,490G000381,Albert Bridge / Cadogan Pier,51.48345,-0.16614,bus,170
490003153E,490003153E,Albert Carr Gardens,51.42336,-0.12838,bus,249
490003153W,490003153W,Albert Carr Gardens,51.42319,-0.12858,bus,249
490G00003153,490G00003153,Albert Carr Gardens,51.42319,-0.12858,bus,249
490003155E,490003155E,Albert Grove,51.41518,-0.21949,bus,"131, 57, N87"
490003155W,490003155W,Albert Grove,51.41513,-0.21935,bus,"N87, 57, 131"
490G00003155,490G00003155,Albert Grove,51.41518,-0.21949,bus,"57, 131, N87"
490003157E,490003157E,Albert Road,51.57578,0.18921,bus,"650, 649, 496, 370"
490003157W,490003157W,Albert Road,51.5754,0.1883,bus,"370, 650, 649, 496"
490003158N,490003158N,Albert Road,51.60239,-0.13098,bus,"102, 184, 299"
490003158S,490003158S,Albert Road,51.60167,-0.1316,bus,"299, 184, 102"
490003159C,490003159C,Albert Road,51.51134,-0.4714,bus,350
490003159D,490003159D,Albert Road,51.51122,-0.47091,bus,350
490003160CT,490003160CT,Albert Road,51.57029,-0.11428,bus,"310, 210, W3, W7"
490015118E,490015118E,Albert Road,51.57237,0.19231,bus,"294, 165, 193, 674"
490015118W,490015118W,Albert Road,51.57209,0.19067,bus,"674, 165, 294, 193"
490G00003157,490G00003157,Albert Road,51.5754,0.1883,bus,"496, 370, 649, 650"
490G00003158,490G00003158,Albert Road,51.60239,-0.13098,bus,"102, 184, 299"
490G00003159,490G00003159,Albert Road,51.51122,-0.47091,bus,350
490G00015118,490G00015118,Albert Road,51.57209,0.19067,bus,"165, 294, 193, 674"
490G000382,490G000382,Albert Road,51.57029,-0.11428,bus,"310, W3, W7, 210"
490012593N,490012593N,Albert Road / Nuxley Road,51.48154,0.14439,bus,401
490G00012597,490G00012597,Albert Road / Nuxley Road,51.48154,0.14439,bus,401
490003164N,490003164N,Albert Square,51.47626,-0.11849,bus,"N155, 155, 333"
490003164S,490003164S,Albert Square,51.47695,-0.11742,bus,"333, 155, N155"
490G00003164,490G00003164,Albert Square,51.47695,-0.11742,bus,"N155, 155, 333"
490009291B,490009291B,Albert Terrace / London Zoo,51.53788,-0.15498,bus,274
490G00009291,490G00009291,Albert Terrace / London Zoo,51.53736,-0.15396,bus,274
490003166E,490003166E,Albion Road,51.41356,-0.27319,bus,57
490003166W,490003166W,Albion Road,51.4136,-0.27232,bus,57
490010224S3,490010224S3,Albion Road,51.55248,-0.08609,bus,"341, 141"
490020014NE,490020014NE,Albion Road,51.45589,0.14212,bus,
490G00003166,490G00003166,Albion Road,51.41356,-0.27319,bus,57
490G00020114,490G00020114,Albion Road,51.45589,0.14212,bus,
490G000675,490G000675,Albion Road,51.55248,-0.08609,bus,"141, 341"
40004406047A,40004406047A,Albury Avenue,51.345724,-0.227915,bus,S2
40004406047B,40004406047B,Albury Avenue,51.345674,-0.227587,bus,S2
400G4406047A,400G4406047A,Albury Avenue,51.345674,-0.227587,bus,S2
490003167E,490003167E,Albury Close,51.42311,-0.36735,bus,R70
490003167W,490003167W,Albury Close,51.42314,-0.36886,bus,R70
490G00003167,490G00003167,Albury Close,51.42314,-0.36886,bus,R70
490003168N,490003168N,Albury Drive,51.6044,-0.39802,bus,H13
490003168S,490003168S,Albury Drive,51.60487,-0.39782,bus,H13
490G00003168,490G00003168,Albury Drive,51.6044,-0.39802,bus,H13
490018904W,490018904W,Albyfield,51.39905,0.05477,bus,R7
490G00018904,490G00018904,Albyfield,51.39905,0.05477,bus,R7
