station_name,latitude,longitude,mode,lines,station_id
Acton Central Station,51.50647,-0.26405,bus,"207, 218, 70, N207, N266, N7, SL8",490001002J
Acton Central Station,51.50655,-0.26287,bus,"207, 218, 70, N207, N266, N7, SL8",490001002H
Acton Fire Station,51.50744,-0.27705,bus,"70, E3, N11",490003075Q
Acton Green,51.4961,-0.26447,bus,94,490003076W
Acton Green,51.49638,-0.26425,bus,94,490003076C
Acton Lane,51.52879,-0.26803,bus,"260, 440, 487",490003078S
Acton Lane,51.53441,-0.24808,bus,"220, 228, 266, 487, N266",490003079R
Acton Main Line Station,51.51759,-0.26592,bus,"266, 440, N266",490001003H
Acton Main Line Station,51.51785,-0.26631,bus,"260, 266, 440, N266",490001003J
Acton Market Place,51.50852,-0.27148,bus,unknown,490000042Z2
Acton Market Place,51.50914,-0.27173,bus,unknown,490015559M
Acton Old Town Hall,51.50628,-0.26815,bus,unknown,490003088L
Acton Old Town Hall,51.5067,-0.26891,bus,"207, 218, 266, 440, 70, E3, N11, N207, N266, N7, SL8",490003083G
Acton Old Town Hall,51.50675,-0.26725,bus,"207, 218, 266, 440, 70, E3, N11, N207, N266, N7, SL8",490003083F
Acton Old Town Hall / Salisbury Street,51.50588,-0.2674,bus,266,490003088K
Acton Park,51.50637,-0.261,bus,"207, 218, 70, N207, N266, N7",490003084W
Acton Park,51.5066,-0.2603,bus,"207, 218, 70, N207, N266, N7",490003084E
Acton Park / Greenview Close,51.50701,-0.2569,bus,"70, N7",490015431S
Acton Park / Greenview Close,51.50715,-0.25714,bus,"70, N7",490015431N
Acton Street,51.52761,-0.11872,bus,"17, 46",490012149N
Acton Street,51.52835,-0.11809,bus,"17, 46",490003087W1
Acton Street,51.52858,-0.11697,bus,"17, 46, 63, N63",490003087W2
Acton Street,51.52858,-0.11564,bus,"63, N63",490008771S
Acton Town,51.50213702,-0.278432824,London Underground,"District, Piccadilly",204.0
Acton Town Station,51.50273,-0.28101,bus,"E3, N11",490000002A
Acton Town Station,51.5028,-0.27925,bus,unknown,49000002SE
Acton Town Station,51.50293,-0.28071,bus,unknown,490000002RB7
Acton Town Station,51.50402,-0.27986,bus,"70, E3, N11",490000002B
Acton Town Station  / Enfield Road,51.50233,-0.27886,bus,70,490020303S
Acton Town Underground Station,51.503057,-0.280462,bus,"70, District, E3, N11, Piccadilly",940GZZLUACT
Acton Vale / Bromyard Avenue,51.50663,-0.25142,bus,"207, 218, 272, 306, N207, N266, SL8",490004438W
Acton Vale / Bromyard Avenue,51.50679,-0.25241,bus,"207, 218, 272, 306, N207, N266, SL8",490004438E
Ada Street,51.53574,-0.06157,bus,394,490016378E
Adamsrill Road,51.43111,-0.03854,bus,356,490003091S
Addington Park,51.35391,-0.03778,bus,"130, 466",490003094E
Addington Park,51.35396,-0.03892,bus,"130, 466",490003094W
Addington Road / Glebe Way,51.37052,-0.0022,bus,"119, 314, 353, 654, 664",490003099W
Addington Road / Glebe Way,51.37074,-0.00204,bus,"119, 138, 246, 314, 353, 638, 654, 664",490003099N
Addington Road / Pumping Station,51.36391,-0.01843,bus,"314, 353, 654, 664",490003095W
Addington Road / Pumping Station,51.36406,-0.01834,bus,"314, 353, 654, 664",490003095E
Addington Street,51.50126,-0.1161,bus,unknown,490020287E
Addington Village,51.35649,-0.0324,Tramlink,unknown,4900ZZCRADV
Addington Village Interchange,51.35639,-0.03257,bus,"130, 314, 353, 359, 433, 466, 64, 654, 664",490003101E
Addington Village Interchange,51.35647,-0.03204,bus,"130, 314, 64, 664",490003101A
Addington Village Interchange,51.3565,-0.03211,bus,"314, 353, 654, 664",490003101B
Addington Village Interchange,51.35656,-0.03232,bus,"353, 359, 433",490003101C
Addington Village Interchange,51.35658,-0.03239,bus,"130, 466, 64",490003101D
Addington Village Tram Stop,51.356241,-0.032694,bus,"130, 314, 353, 359, 433, 466, 64, 654, 664, Tram",940GZZCRADV
Addiscombe,51.38021,-0.07304,Tramlink,unknown,4900ZZCRADD1
Addiscombe Road,51.37601,-0.09108,bus,"197, 312, 367, 410, 689",490001089E5
Addiscombe Tram Stop,51.37948,-0.07307,bus,unknown,4900ZZCRADD0
Addiscombe Tram Stop,51.37981,-0.073242,bus,"119, 194, 198, 466, Tram",940GZZCRADD
Addiscombe Tram Stop,51.38005,-0.07382,bus,"289, 312, 367, 689",490002002B
Addiscombe Tram Stop,51.38044,-0.07245,bus,"289, 312, 367, 689",490002002A
Addison Road,51.58317,-0.00725,bus,"W12, W16",490003107S
Addison Road,51.58324,-0.00746,bus,"W12, W16",490003107N
Addison Way,51.58793,-0.19977,bus,"102, 13, 460",490003108S
Adelaide Avenue / Montague Avenue,51.45902,-0.02885,bus,122,490009988E
Adelaide Avenue / St Margaret's Road,51.45904,-0.03118,bus,122,490009988W1
Adelaide Grove,51.50637,-0.23676,bus,"207, 228, 260, 283, N207, SL8",490003110W
Adelaide Grove,51.50652,-0.23751,bus,"207, 228, 260, 283, N207, SL8",490003110E
Adelaide Road,51.4993,-0.38279,bus,"120, E5",490014608C
Adelphi Crescent,51.53245,-0.42294,bus,"195, U7",490003111N
Adelphi Crescent,51.53338,-0.42503,bus,"195, U7",490003111S
Adelphi Way,51.53204,-0.42196,bus,"195, U7",490003113S
Aden Grove,51.55333,-0.08802,bus,"141, 341",490003114S
Aden Grove,51.55372,-0.08848,bus,"141, 341",490009055N
Adley Street,51.55015,-0.03408,bus,"236, 276, 308, W15",490003222E
Admirals Way,51.5006,-0.01971,bus,D8,490002074E
Admirals Way,51.50061,-0.02019,bus,D8,490002074W
Adrienne Avenue,51.53265,-0.37277,bus,"120, 282, E6, E7, E9, N7",490003116S
Adrienne Avenue,51.53275,-0.37287,bus,"120, 282, E6, E7, E9, N7",490003116E
Aerodrome Road / Colindale Gardens,51.5959,-0.24528,bus,"125, 186",490017849E
Aerodrome Road / Colindale Gardens,51.59591,-0.24659,bus,"125, 186",490017849W
Agar Grove,51.54329,-0.12765,bus,274,490003119W
Agar Grove / Maiden Lane,51.54271,-0.1259,bus,390,490003074N
Agar Grove Estate,51.54254,-0.13417,bus,274,490003120E
Agar Grove Estate,51.54263,-0.13345,bus,274,490003120W
Agate Close,51.53319,-0.28568,bus,unknown,490020359E
Ainslie Wood Road,51.61219,-0.01785,bus,"158, 215, 357, 385, 397, 657, 97, N26",490003124S
Aintree Avenue,51.53201,0.04877,bus,"115, 147, 5, 58, N15",490003126W
Aintree Crescent,51.59423,0.0814,bus,169,490003127W
Aintree Crescent,51.59432,0.08159,bus,169,490003127E
Aintree Road,51.53995,-0.31489,bus,297,490003128W
Aintree Road,51.53997,-0.31437,bus,297,490003128E
Airport House,51.35628,-0.11664,bus,"119, 289, 439",490003130N
Aitken Road,51.64656,-0.22315,bus,384,490018830Z
Ajax Avenue,51.5938,-0.25291,bus,"204, 303, 632, 642, N5",490003132CC
Ajax Avenue,51.59415,-0.25223,bus,"204, 303, 632, 642, N5",490005786CD
Al-Emaan Centre / Keston Mosque,51.36727,0.03746,bus,"353, 654, 664",490008681W
Al-Emaan Centre / Keston Mosque,51.36746,0.03596,bus,"353, 654, 664",490010989E
Albany Leisure Centre,51.66791,-0.04179,bus,"121, 279, N279",490003136N
Albany Leisure Centre,51.66882,-0.04128,bus,"121, 279, N279",490003140S
Albany Park Avenue,51.66577,-0.03772,bus,191,490003145W
Albany Park Avenue,51.66578,-0.03646,bus,191,490003145E
Albany Park Rail Station,51.435453,0.125737,bus,"269, 669, B14, Southeastern",910GALBNYPK
Albany Park Station,51.43507,0.12596,bus,unknown,4900ALBNYPK1
Albany Park Station,51.43568,0.12606,bus,unknown,4900ALBNYPK0
Albany Road,51.41969,0.06598,bus,"161, 273, 638, N136",490003139H
Albany Road,51.48618,-0.29979,bus,"235, 65, N65",490003137X
Albany Road,51.48658,-0.29989,bus,"235, 65, N65",490003137V
Albany Road,51.5727,0.14558,bus,"86, N86",490007654W
Albany Road / Camberwell Road,51.48233,-0.09312,bus,42,490003138W
Albany Road / Camberwell Road,51.48252,-0.09249,bus,42,490003138E
Albany Road / Green Lane,51.42123,0.06792,bus,"160, 162, 61, R7",490003142B
Albany Road / Wells Way,51.48413,-0.08518,bus,"136, 343, 42, N343",490003143W
Albany Road / Wells Way,51.48424,-0.08526,bus,"136, 343, 42, N343",490003143E
Albany Street,51.52436,-0.14446,bus,88,490013600C
Albatross Close,51.51844,0.05995,bus,"101, 104, 173, 300, 474, 673",490003747S
Albatross Close,51.5195,0.05951,bus,"101, 104, 173, 300, 474, 673",490003747N
Albemarle,51.44212,-0.22347,bus,93,490003146S
Albemarle,51.44274,-0.22343,bus,93,490003146N
Albemarle Road,51.40725,-0.00494,bus,227,490003147W
Albemarle Road,51.40734,-0.00501,bus,227,490003147E
Albert Bridge / Cadogan Pier,51.48316,-0.16867,bus,170,490003152E
Albert Bridge / Cadogan Pier,51.48345,-0.16614,bus,170,490003152W
Albert Carr Gardens,51.42319,-0.12858,bus,249,490003153W
Albert Carr Gardens,51.42336,-0.12838,bus,249,490003153E
Albert Grove,51.41513,-0.21935,bus,"131, 57, N87",490003155W
Albert Grove,51.41518,-0.21949,bus,"131, 57, N87",490003155E
Albert Road,51.51122,-0.47091,bus,350,490003159D
Albert Road,51.51134,-0.4714,bus,350,490003159C
Albert Road,51.57029,-0.11428,bus,"210, 310, W3, W7",490003160CT
Albert Road,51.57209,0.19067,bus,"165, 193, 294, 674",490015118W
Albert Road,51.57237,0.19231,bus,"165, 193, 294, 674",490015118E
Albert Road,51.5754,0.1883,bus,"370, 496, 649, 650",490003157W
Albert Road,51.57578,0.18921,bus,"370, 496, 649, 650",490003157E
Albert Road,51.60167,-0.1316,bus,"102, 184, 299",490003158S
Albert Road,51.60239,-0.13098,bus,"102, 184, 299",490003158N
Albert Road / Nuxley Road,51.48154,0.14439,bus,401,490012593N
Albert Square,51.47626,-0.11849,bus,"155, 333, N155",490003164N
Albert Square,51.47695,-0.11742,bus,"155, 333, N155",490003164S
Albert Terrace / London Zoo,51.53788,-0.15498,bus,274,490009291B
Albion Road,51.41356,-0.27319,bus,57,490003166E
Albion Road,51.4136,-0.27232,bus,57,490003166W
Albion Road,51.45589,0.14212,bus,unknown,490020014NE
Albion Road,51.55248,-0.08609,bus,"141, 341",490010224S3
Albury Avenue,51.345674,-0.227587,bus,S2,40004406047B
Albury Avenue,51.345724,-0.227915,bus,S2,40004406047A
Albury Close,51.42311,-0.36735,bus,R70,490003167E
Albury Close,51.42314,-0.36886,bus,R70,490003167W
Albury Drive,51.6044,-0.39802,bus,H13,490003168N
Albury Drive,51.60487,-0.39782,bus,H13,490003168S
Albyfield,51.39905,0.05477,bus,R7,490018904W
Albyns Close,51.53559,0.19676,bus,"165, 365, 372, 652",490003169S
Alcock Road,51.48185,-0.39554,bus,H28,490016382N
Alcock Road,51.48244,-0.39464,bus,H28,490016382W
Aldborough Road,51.541,0.16554,bus,"103, 364",490009581S
Aldborough Road North,51.57756,0.09832,bus,"296, 396, 66",490003171E
Aldborough Road South,51.56276,0.09082,bus,"86, N86",490011999E
Aldborough Road South,51.5777,0.09912,bus,"296, 396, 66",490019701NU
Aldenham Drive,51.52714,-0.451,bus,U2,490003173S
Aldenham Drive,51.52746,-0.45078,bus,U2,490003173N
Aldenham Street,51.53158,-0.13554,bus,"1, 253, N20, N253, N5",490003174N
Aldenham Street,51.53199,-0.13576,bus,"1, 253, N20, N253, N5",490003174S
Alder Grove,51.56622,-0.23407,bus,"16, 182, 245",49003271DD
Alder Grove,51.5665,-0.23377,bus,"16, 182, 245",490005476N
Alderbrook Road,51.4492,-0.14794,bus,"155, 249, 355, N155",490003175S
Alderbrook Road,51.44933,-0.1481,bus,"155, 249, 355, N155",490003175N
Aldercroft,51.31617,-0.12852,bus,404,49003176N1
Alderman Avenue,51.52697,0.11291,bus,"EL1, EL2",490003177E
Alderman Avenue,51.52711,0.11195,bus,"EL1, EL2",490003177W
Alderney Gardens,51.54492,-0.3729,bus,"120, 140, 282, 90, N140, N7",490003178W
Alderney Street,51.48792,-0.13961,bus,"24, 360, C10",490003179S
Aldersgate Street,51.51865,-0.0972,bus,"4, 56",490010130N
Alderson Street,51.52626,-0.2111,bus,23,490003183E
Aldgate,51.51398203,-0.0742363,London Underground,"Metropolitan, Circle",84.0
Aldgate Bus Station,51.51386,-0.07532,bus,"115, 242, 254, N253, N551",490003184L
Aldgate East,51.51491653,-0.069540402,London Underground,"Hammersmith & City, District",249.0
Aldgate East Station,51.51465,-0.07321,bus,"115, 135, 15, 205, 242, 25, 254, N15, N205, N25, N253, N550",490000004W
Aldgate East Station,51.51492,-0.07151,bus,unknown,490000004Y
Aldgate East Station,51.51532,-0.07024,bus,"115, 135, 15, N15, N550",490000004Z
Aldgate East Station,51.5155,-0.07143,bus,"205, 25, 254, N205, N25, N253",490000004E
Aldgate East Station,51.51572,-0.07238,bus,242,490000004N
Aldgate East Station,51.51577,-0.07217,bus,242,490019414S
Aldgate East Underground Station,51.515037,-0.072384,bus,"205, 25, 254, District, Hammersmith & City, N205, N25, N253",940GZZLUADE
Aldgate Station,51.51356,-0.07536,bus,343,490000003DS
Aldgate Station,51.51408,-0.07493,bus,"100, 115, 15, 242, 25, 254, 343, 42, 78, N15, N25, N253, N550, N551",490000003R
Aldgate Station,51.514293,-0.074735,bus,"25, N25, N550",490000003Y
Aldgate Underground Station,51.514246,-0.075689,bus,"100, 135, 15, 205, 25, 42, 78, Circle, Metropolitan, N15, N205, N25, N550, N551",940GZZLUALD
Aldingham Gardens,51.54463,0.19546,bus,"165, 365, 372",490003185G
Aldingham Gardens,51.54518,0.19592,bus,"165, 365, 372",490003185F
Aldridge Avenue,51.62631,-0.26899,bus,288,490003188W
Aldrington Road,51.42502,-0.14066,bus,"201, 333, 57",490003189N
Aldrington Road,51.42506,-0.14034,bus,"201, 333, 57",490003189S
Aldrington Road / North,51.42924,-0.13997,bus,G1,490002346HS
Aldrington Road / North,51.42956,-0.14007,bus,G1,490002346HN
Aldwych,51.51192,-0.11912,bus,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89",490015764E
Aldwych,51.5127,-0.11859,bus,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89",490003191D
Aldwych / Australia House,51.51306,-0.11543,bus,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89",490000293Z
Aldwych / Bush House,51.51319,-0.11701,bus,"23, 87, 9, N155, N44, N87, N9",490000372Z
Aldwych / Drury Lane,51.51226,-0.11881,bus,"1, 172, 188, 243, 341, 59, 68, 76, N1, N171, N68, SL6",490019703Z
Aldwych / Drury Lane,51.51278,-0.11831,bus,"1, 15, 172, 188, 23, 243, 26, 341, 59, 68, 76, 87, 9, 91, N1, N15, N155, N171, N199, N21, N26, N44, N550, N551, N68, N87, N89, N9, N91, SL6",490019703Y
Aldwych / Drury Lane,51.51283,-0.11841,bus,"172, 23, 243, 59, 87, 9, N155, N44, N87, N9",490019703E
Aldwych / Kingsway,51.51314,-0.11795,bus,"1, 188, 68, 91, N1, N171, N68, N91, SL6",490003191F
Aldwych Avenue,51.58076,0.084,bus,169,490003194S
Aldwych Avenue,51.58166,0.08408,bus,169,490003194N
Alers Road,51.45225,0.12865,bus,B13,490000500ZZ
Alers Road,51.45241,0.12808,bus,B13,490000500YY
Alexander Court,51.45749,-0.18154,bus,219,490003200N
Alexander Road,51.56168,-0.12466,bus,"17, 263, 43, N271, N41",490003201S
Alexander Road / Coulsdon,51.32102,-0.15579,bus,463,490000921Y
Alexander Road / Coulsdon,51.32121,-0.15574,bus,"463, 633",490000921Z
Alexandra Avenue,51.37015,-0.20308,bus,"613, 80",490003202N1
Alexandra Avenue,51.37046,-0.20369,bus,"613, 80",490003202N2
Alexandra Avenue,51.48209,-0.25809,bus,"190, 533",490004598N
Alexandra Avenue,51.5113,-0.37773,bus,"207, 427, N207",490012241I
Alexandra Avenue,51.56394,-0.36596,bus,"114, H9",490013683E
Alexandra Avenue,51.56417,-0.36452,bus,"114, 398, H10, H9",490013683W
Alexandra Avenue,51.5726,-0.36996,bus,H12,490003204F
Alexandra Avenue / Alexandra Palace,51.59829,-0.12665,bus,184,490002360HW
Alexandra Avenue / Alexandra Palace,51.59846,-0.12613,bus,184,490002360HE
Alexandra Avenue Health Centre,51.56746,-0.36885,bus,398,490003220N
Alexandra Avenue Health Centre,51.56786,-0.36857,bus,398,490003220S
Alexandra Gardens,51.48095,-0.25891,bus,"190, 533, E3",490003206S
Alexandra Grove,51.56738,-0.10026,bus,"253, 254, 259, 29, 310, N253, N279, N29",490003208S
Alexandra Grove,51.568,-0.09975,bus,"253, 254, 259, 29, 310, N253, N279, N29",490003208E
Alexandra Palace Garden Centre,51.59234,-0.13392,bus,W3,490003210S
Alexandra Palace Garden Centre,51.59238,-0.13421,bus,W3,490003210N
Alexandra Palace Ice Rink,51.59364,-0.12998,bus,W3,490003198S
Alexandra Palace Ice Rink,51.59532,-0.12786,bus,W3,490003198N
Alexandra Palace Palm Court,51.5931,-0.13304,bus,W3,490003199S
Alexandra Palace Palm Court,51.59318,-0.13298,bus,W3,490003199E
Alexandra Palace Park,51.596,-0.12426,bus,W3,490003196E
Alexandra Palace Park,51.59603,-0.12485,bus,W3,490003196W
Alexandra Palace Station,51.59809,-0.11964,bus,"184, W3",490001005D
Alexandra Palace Station,51.59828,-0.12002,bus,"184, W3",490001005C
Alexandra Park Road,51.59604,-0.14519,bus,"134, 43, 634",490003212S
Alexandra Park Road,51.5962,-0.14544,bus,"134, 43, 634",490003212N
Alexandra Park Road / Alexandra Palace,51.59883,-0.12245,bus,184,490018814E
Alexandra Park Road / Alexandra Palace,51.59907,-0.13591,bus,184,490018813W
Alexandra Place,51.38144,-0.08846,bus,410,490003214N
Alexandra Place,51.38197,-0.08814,bus,410,490003214S
Alexandra Road,51.41794,-0.28908,bus,371,490003215N
Alexandra Road,51.41813,-0.28873,bus,371,490003215S
Alexandra Road,51.53017,0.1908,bus,"165, 365, 372, 652",490003216S
Alexandra Road,51.53051,0.19068,bus,"165, 365, 372, 652",490003216N
Alexandra Road,51.58979,-0.2164,bus,"125, 143, 326, 643, 653, 683",490003218W
Alexandra Road,51.59008,-0.21503,bus,"125, 143, 326, 643, 653, 683",490003218E
Alexandra Road,51.60895,-0.14309,bus,232,490003217W
Alexandra Road,51.60943,-0.14246,bus,232,490003217E
Alexandra Road,51.64734,-0.03936,bus,"191, 313, 491",490003082E
Alexandra Road,51.64773,-0.03703,bus,191,490015127W
Alexandra Road / Wimbledon,51.42181,-0.20697,bus,"156, 493, N87",490014734B
Alexandra Road / Wimbledon,51.42203,-0.20689,bus,"156, 493, N87",490014734A
Alford House,51.57738,-0.13729,bus,W5,490000410Z
Alford Road,51.48415,0.16466,bus,99,490013473N
Alford Road,51.48423,0.16486,bus,99,490013473S
Alfred Road,51.627235,0.05021,bus,"167, 677",150042019001
Alfred Road,51.627253,0.049719,bus,"167, 677",150042019002
Algar Court,51.41383,-0.36359,bus,"111, 216",490003224E
Algernon Road,51.45786,-0.02044,bus,484,490003225N
Alice Lane,51.53405,-0.0335,bus,"8, N8",490012461N
Alice Lane,51.53462,-0.03376,bus,"8, N8",490012461S
All Hallows Church,51.51669,-0.08478,bus,"100, 153, 21, 43",490003172A
All Hallows Road,51.59898,-0.07736,bus,318,490009361N
All Hallows Road,51.59905,-0.07683,bus,318,490003235S
All Saints,51.51113,-0.01291,bus,unknown,4900ZZDLALL1
All Saints,51.5112,-0.01311,bus,unknown,4900ZZDLALL2
ALL SAINTS - DLR,51.51051157,-0.011456278,DLR,unknown,448.0
All Saints Church,51.302107,-0.329914,bus,465,40004408188A
All Saints Church,51.302408,-0.329587,bus,465,40004408188B
All Saints Church,51.41087,-0.0863,bus,249,490015128S
All Saints Church,51.41138,-0.08602,bus,249,490015128E
All Saints Church,51.47813,0.06607,bus,386,490003243N
All Saints Church,51.48339,0.1474,bus,"401, 601",490003247S
All Saints Church,51.62613,-0.06547,bus,"616, W8",490003245W
All Saints Church,51.62635,-0.06591,bus,"616, W8",490003245E
All Saints Church / Clarence Street,51.41098,-0.30605,bus,411,490003249P3
All Saints DLR Station,51.511,-0.013135,bus,"108, 115, 15, 309, D6, D7, D8, DLR, N15, N551",940GZZDLALL
All Saints Mews,51.61175,-0.33485,bus,"340, 640, H12, H19",490003251W
All Saints Mews,51.61202,-0.33435,bus,"340, 640, H12, H18, H19",490003251E
All Saints Road,51.50196,-0.27003,bus,440,490003252E1
All Saints School,51.307185,-0.331595,bus,465,40004408189B
All Saints School,51.307487,-0.331957,bus,465,40004408189A
All Souls Avenue,51.53373,-0.23432,bus,187,490003257S1
All Souls Avenue,51.53385,-0.23338,bus,187,490003257S2
All Souls Avenue,51.54035,-0.22512,bus,"302, 52, 6",490003256S
All Souls Avenue,51.54101,-0.22588,bus,"302, 52, 6",490003256N
Allan Way,51.5238,-0.26635,bus,unknown,490003228W
Allandale Avenue,51.59192,-0.1994,bus,"13, 460",490005488S
Allandale Avenue,51.59231,-0.19958,bus,"13, 460",490005488N
Allen Road,51.52105,0.20905,bus,"165, 287, 652",490003232W
Allen Road,51.52134,0.20977,bus,"165, 287, 652",490003232E
Allenby Road,51.51953,-0.36804,bus,105,490005613S
Allenby Road,51.51957,-0.3685,bus,105,490005613N
Allendale Road,51.55079,-0.32065,bus,"487, H17",490003231E
Alleyn Road,51.43002,-0.08875,bus,"3, N3",490003233N
Alliance Road,51.5264,-0.27719,bus,"487, 95",490003236W
Allington Road,51.53215,-0.21053,bus,"187, 316, 6",490003237E
Allington Road / Andover Road,51.37709,0.08272,bus,R7,490003239S
Allington Road / Andover Road,51.37722,0.0827,bus,R7,490003239N
Allington Road / Crofton Road,51.37306,0.08218,bus,R7,490005791S
Allington Road / Crofton Road,51.37334,0.08195,bus,R7,490005791N
Allison Grove,51.44212,-0.08097,bus,"P13, P4",490003240W
Alloa Road,51.48713,-0.04328,bus,225,490003241N
Alloa Road,51.48779,-0.04369,bus,225,490003241S
Alma Avenue,51.55465,0.22979,bus,193,490003258S
Alma Avenue,51.55513,0.22974,bus,193,490003258N
Almington Street,51.56845,-0.11939,bus,"210, 310",490003261E
Almington Street,51.56886,-0.11833,bus,"210, 310",490003261W
