route_station,status,lat,lng,source
Borough,unmatched,,,
Ealing Broadway,matched,51.514993,-0.302131,bus_data
Ilford,unmatched,,,
Woodside Park,unmatched,,,
Uxbridge,unmatched,,,
Beckton,unmatched,,,
Putney Bridge,matched,51.46804,-0.21184,bus_data
Woolwich Arsenal,matched,51.489962,0.06917,bus_data
Reading,unmatched,,,
Barkingside,unmatched,,,
Tooting Broadway,matched,51.42856,-0.16743,geocoding
Grange Hill,matched,51.59779,-0.19827,geocoding
Parsons Green,matched,51.47287,-0.19925,bus_data
Iver,unmatched,,,
Westminster,matched,51.501603,-0.125984,bus_data
Wembley Park,unmatched,,,
London Bridge LU,matched,51.50966,-0.08757,geocoding
North Greenwich,matched,51.500474,0.004295,bus_data
Brentwood,unmatched,,,
Fulham Broadway,matched,51.48023,-0.19812,bus_data
Island Gardens,matched,51.46178,-0.39179,geocoding
Balham LU,matched,51.443259,-0.152707,geocoding
Euston NR,matched,51.5252,-0.14411,geocoding
Wimbledon,matched,51.421505,-0.206444,bus_data
St. Paul's,unmatched,,,
Burnt Oak,unmatched,,,
Seven Sisters,matched,51.582931,-0.073306,bus_data
East Ham,unmatched,,,
Stockwell,unmatched,,,
Leicester Square,matched,51.51159,-0.12833,geocoding
Paddington TfL,matched,51.516981,-0.17616,geocoding
Bruce Grove,matched,51.50946,-0.28539,geocoding
Tooting Bec,matched,51.43074,-0.14077,geocoding
Heathrow Terminals 2 & 3 EL,matched,51.471618,-0.454037,geocoding
Eastcote,unmatched,,,
Leytonstone,unmatched,,,
Harold Wood,unmatched,,,
Southfields,matched,51.59555,-0.23382,bus_data
Richmond,matched,51.463152,-0.301448,bus_data
Abbey Wood,matched,51.491247,0.121057,bus_data
Vauxhall LU,matched,51.485739,-0.123303,geocoding
Tufnell Park,matched,51.55914,-0.12166,geocoding
West Finchley,unmatched,,,
Maidenhead,unmatched,,,
Canada Water,matched,51.498053,-0.049667,bus_data
Maryland,unmatched,,,
Woolwich EL,matched,51.49186,0.07041,geocoding
Edgware,unmatched,,,
Green Park,matched,51.58497,-0.26906,geocoding
Colindale,unmatched,,,
Rayners Lane,matched,51.58948,-0.3774,bus_data
Euston Square,matched,51.49486,-0.15267,geocoding
Upminster,matched,51.558659,0.250855,bus_data
Gidea Park,unmatched,,,
Osterley,unmatched,,,
Southall,unmatched,,,
Maida Vale,matched,51.52787,-0.18086,bus_data
