commonName,lat_x,lon_x,is_pure_bus,id,lines,commonName_clean,line_id,line_name,mode_name,station_id,station_name,lat_y,lon_y,station_modes,station_name_clean
Abbots Lane,51.50418,-0.08188,1.0,4900R0049J,"343, 381, 47, N199, N381",abbots lane,,,,,,,,,
Abbots Road,51.6079,-0.26537,1.0,490014306N1,,abbots road,,,,,,,,,
Abbots Way,51.39312,-0.04109,1.0,490003046W,"194, 356, 358",abbots way,,,,,,,,,
Abbots Way,51.39323,-0.04143,1.0,490003046S,"194, 356, 358",abbots way,,,,,,,,,
Abbotsbury Road,51.39513,-0.19282,1.0,490010026S2,470,abbotsbury road,,,,,,,,,
Abbotsbury Road,51.39545,-0.19323,1.0,490010026N1,470,abbotsbury road,,,,,,,,,
Abbotsford Avenue,51.58407,-0.09012,1.0,490003042S,"341, 67",abbotsford avenue,,,,,,,,,
Abbotsford Avenue,51.58448,-0.08994,1.0,490003042N,"341, 67",abbotsford avenue,,,,,,,,,
Abbott Road,51.51254,-0.00093,1.0,490003047W,"115, N15, N551",abbott road,,,,,,,,,
Abbott Road,51.51281,-0.00104,1.0,490003047E,"115, 309, D8, N15, N551",abbott road,,,,,,,,,
Abbott Road,51.51466,-0.00819,1.0,490003315I,D8,abbott road,,,,,,,,,
Abbotts Road,51.51192,-0.38252,1.0,490010341G,"207, 427, N207",abbotts road,,,,,,,,,
Abbs Cross Academy,51.55342,0.2062,1.0,490003050W,"165, 365, 372",abbs cross academy,,,,,,,,,
Abbs Cross Academy,51.55362,0.20641,1.0,490003050E,"165, 365, 372",abbs cross academy,,,,,,,,,
Abbs Cross Gardens,51.56228,0.21257,1.0,490003049S,"165, 365, 372",abbs cross gardens,,,,,,,,,
Abbs Cross Lane,51.5628,0.21169,1.0,490003049W,"193, 248, 365",abbs cross lane,,,,,,,,,
Abbs Cross Lane,51.56309,0.21461,1.0,490003049E,"165, 193, 248, 365, 372",abbs cross lane,,,,,,,,,
Aberconway Road,51.40146,-0.19104,1.0,490010060W,"157, 45, 470, N133",aberconway road,,,,,,,,,
Abercorn Road,51.60599,-0.307,1.0,490003051E,186,abercorn road,,,,,,,,,
Abercorn Road,51.60603,-0.30629,1.0,490003051W,186,abercorn road,,,,,,,,,
Abercorn Road,51.60664,-0.20706,1.0,490003052N,221,abercorn road,,,,,,,,,
Aberdeen Park,51.55056,-0.09823,1.0,490003053N,"19, 236, 263, 4, N19",aberdeen park,,,,,,,,,
Aberdeen Road,51.36589,-0.09897,1.0,490013269S,"119, 166, 312, 405, 407, 412, 466, 468, 60, 645, N68",aberdeen road,,,,,,,,,
Aberdeen Road,51.55306,-0.2425,1.0,490003054W,226,aberdeen road,,,,,,,,,
Aberdeen Road,51.55308,-0.24184,1.0,490003054E,226,aberdeen road,,,,,,,,,
Aberfoyle Road,51.41725,-0.1369,1.0,490003057S2,"45, 60, N133",aberfoyle road,,,,,,,,,
Abingdon Street,51.49759,-0.12561,1.0,490003059E,"87, N87",abingdon street,,,,,,,,,
Abinger Grove,51.48355,-0.03112,1.0,490007585E,"188, 199, 47, N1, N199",abinger grove,,,,,,,,,
Abinger Grove,51.48364,-0.03149,1.0,490007585W,"188, 199, 47, N1, N199",abinger grove,,,,,,,,,
Abinger Road,51.49679,-0.25005,1.0,490003060W,"272, 94",abinger road,,,,,,,,,
Abinger Road,51.49697,-0.24967,1.0,490003060E,"272, 94",abinger road,,,,,,,,,
Abney Park,51.56218,-0.07801,1.0,490004202W,"393, 476, 73, N73",abney park,,,,,,,,,
Abney Park,51.56226,-0.07828,1.0,490004202E,"393, 476, 73, N73",abney park,,,,,,,,,
Aboyne Road,51.56407,-0.25154,1.0,490007991E,112,aboyne road,,,,,,,,,
Acacia Road,51.40667,-0.1536,1.0,490018877S,"463, 633",acacia road,,,,,,,,,
Acacia Road,51.40679,-0.15385,1.0,490018877N,"463, 633",acacia road,,,,,,,,,
Acacia Road,51.42588,-0.37256,1.0,490003064W,"111, R70",acacia road,,,,,,,,,
Acacia Road,51.42592,-0.37204,1.0,490003064E1,"111, R70",acacia road,,,,,,,,,
Acacia Road,51.51305,-0.27003,1.0,490003063S,"266, 440, N266",acacia road,,,,,,,,,
Acacia Road,51.51368,-0.26979,1.0,490003063N,"266, 440, N266",acacia road,,,,,,,,,
Academy Road / Shooters Hill Road,51.47201,0.05506,1.0,490012108N,122,academy road / shooters hill road,,,,,,,,,
Acer Avenue,51.52272,0.21748,1.0,490003066W,"165, 287, 652",acer avenue,,,,,,,,,
Acer Avenue,51.52283,0.21783,1.0,490003066E,"165, 287, 652",acer avenue,,,,,,,,,
Ackroyd Drive,51.51791,-0.03027,1.0,490013846N,"277, D6, D7, N277",ackroyd drive,,,,,,,,,
Ackroyd Drive,51.5202,-0.02611,1.0,490016349X,323,ackroyd drive,,,,,,,,,
Ackroyd Drive,51.52037,-0.02613,1.0,490016349E,323,ackroyd drive,,,,,,,,,
Acland Burghley School,51.55734,-0.13889,1.0,490008592E,4,acland burghley school,,,,,,,,,
Acorn Gardens,51.4098,-0.0812,1.0,490003069S,410,acorn gardens,,,,,,,,,
,,,,,,,mildmay,Mildmay,overground,910GACTNCTL,Acton Central Rail Station,51.508716,-0.262971,['overground'],acton central rail station
Acton Central Station,51.50647,-0.26405,1.0,490001002J,"207, 218, 70, N207, N266, N7, SL8",acton central station,,,,,,,,,
Acton Central Station,51.50655,-0.26287,1.0,490001002H,"207, 218, 70, N207, N266, N7, SL8",acton central station,,,,,,,,,
Acton Fire Station,51.50744,-0.27705,1.0,490003075Q,"70, E3, N11",acton fire station,,,,,,,,,
Acton Green,51.4961,-0.26447,1.0,490003076W,94,acton green,,,,,,,,,
Acton Green,51.49638,-0.26425,1.0,490003076C,94,acton green,,,,,,,,,
Acton Lane,51.52879,-0.26803,1.0,490003078S,"260, 440, 487",acton lane,,,,,,,,,
Acton Lane,51.53441,-0.24808,1.0,490003079R,"220, 228, 266, 487, N266",acton lane,,,,,,,,,
,,,,,,,elizabeth,Elizabeth line,elizabeth-line,910GACTONML,Acton Main Line Rail Station,51.51718,-0.266756,"['elizabeth-line', 'national-rail']",acton main line rail station
Acton Main Line Station,51.51759,-0.26592,1.0,490001003H,"266, 440, N266",acton main line station,,,,,,,,,
Acton Main Line Station,51.51785,-0.26631,1.0,490001003J,"260, 266, 440, N266",acton main line station,,,,,,,,,
Acton Market Place,51.50852,-0.27148,1.0,490000042Z2,,acton market place,,,,,,,,,
Acton Market Place,51.50914,-0.27173,1.0,490015559M,,acton market place,,,,,,,,,
Acton Old Town Hall,51.50628,-0.26815,1.0,490003088L,,acton old town hall,,,,,,,,,
Acton Old Town Hall,51.5067,-0.26891,1.0,490003083G,"207, 218, 266, 440, 70, E3, N11, N207, N266, N7, SL8",acton old town hall,,,,,,,,,
Acton Old Town Hall,51.50675,-0.26725,1.0,490003083F,"207, 218, 266, 440, 70, E3, N11, N207, N266, N7, SL8",acton old town hall,,,,,,,,,
Acton Old Town Hall / Salisbury Street,51.50588,-0.2674,1.0,490003088K,266,acton old town hall / salisbury street,,,,,,,,,
Acton Park,51.50637,-0.261,1.0,490003084W,"207, 218, 70, N207, N266, N7",acton park,,,,,,,,,
Acton Park,51.5066,-0.2603,1.0,490003084E,"207, 218, 70, N207, N266, N7",acton park,,,,,,,,,
Acton Park / Greenview Close,51.50701,-0.2569,1.0,490015431S,"70, N7",acton park / greenview close,,,,,,,,,
Acton Park / Greenview Close,51.50715,-0.25714,1.0,490015431N,"70, N7",acton park / greenview close,,,,,,,,,
Acton Street,51.52761,-0.11872,1.0,490012149N,"17, 46",acton street,,,,,,,,,
Acton Street,51.52835,-0.11809,1.0,490003087W1,"17, 46",acton street,,,,,,,,,
Acton Street,51.52858,-0.11697,1.0,490003087W2,"17, 46, 63, N63",acton street,,,,,,,,,
Acton Street,51.52858,-0.11564,1.0,490008771S,"63, N63",acton street,,,,,,,,,
Acton Town Station,51.50273,-0.28101,1.0,490000002A,"E3, N11",acton town station,,,,,,,,,
Acton Town Station,51.5028,-0.27925,1.0,49000002SE,,acton town station,,,,,,,,,
Acton Town Station,51.50293,-0.28071,1.0,490000002RB7,,acton town station,,,,,,,,,
Acton Town Station,51.50402,-0.27986,1.0,490000002B,"70, E3, N11",acton town station,,,,,,,,,
Acton Town Station  / Enfield Road,51.50233,-0.27886,1.0,490020303S,70,acton town station  / enfield road,,,,,,,,,
Acton Town Underground Station,51.503057,-0.280462,0.0,940GZZLUACT,"70, District, E3, N11, Piccadilly",acton town underground station,district,District,tube,940GZZLUACT,Acton Town Underground Station,51.503057,-0.280462,"['tube', 'bus']",acton town underground station
Acton Town Underground Station,51.503057,-0.280462,0.0,940GZZLUACT,"70, District, E3, N11, Piccadilly",acton town underground station,piccadilly,Piccadilly,tube,940GZZLUACT,Acton Town Underground Station,51.503057,-0.280462,"['tube', 'bus']",acton town underground station
Acton Vale / Bromyard Avenue,51.50663,-0.25142,1.0,490004438W,"207, 218, 272, 306, N207, N266, SL8",acton vale / bromyard avenue,,,,,,,,,
Acton Vale / Bromyard Avenue,51.50679,-0.25241,1.0,490004438E,"207, 218, 272, 306, N207, N266, SL8",acton vale / bromyard avenue,,,,,,,,,
Ada Street,51.53574,-0.06157,1.0,490016378E,394,ada street,,,,,,,,,
Adamsrill Road,51.43111,-0.03854,1.0,490003091S,356,adamsrill road,,,,,,,,,
Addington Park,51.35391,-0.03778,1.0,490003094E,"130, 466",addington park,,,,,,,,,
Addington Park,51.35396,-0.03892,1.0,490003094W,"130, 466",addington park,,,,,,,,,
Addington Road / Glebe Way,51.37052,-0.0022,1.0,490003099W,"119, 314, 353, 654, 664",addington road / glebe way,,,,,,,,,
Addington Road / Glebe Way,51.37074,-0.00204,1.0,490003099N,"119, 138, 246, 314, 353, 638, 654, 664",addington road / glebe way,,,,,,,,,
Addington Road / Pumping Station,51.36391,-0.01843,1.0,490003095W,"314, 353, 654, 664",addington road / pumping station,,,,,,,,,
Addington Road / Pumping Station,51.36406,-0.01834,1.0,490003095E,"314, 353, 654, 664",addington road / pumping station,,,,,,,,,
Addington Street,51.50126,-0.1161,1.0,490020287E,,addington street,,,,,,,,,
Addington Village,51.35649,-0.0324,0.0,4900ZZCRADV,,addington village,,,,,,,,,
Addington Village Interchange,51.35639,-0.03257,1.0,490003101E,"130, 314, 353, 359, 433, 466, 64, 654, 664",addington village interchange,,,,,,,,,
Addington Village Interchange,51.35647,-0.03204,1.0,490003101A,"130, 314, 64, 664",addington village interchange,,,,,,,,,
Addington Village Interchange,51.3565,-0.03211,1.0,490003101B,"314, 353, 654, 664",addington village interchange,,,,,,,,,
Addington Village Interchange,51.35656,-0.03232,1.0,490003101C,"353, 359, 433",addington village interchange,,,,,,,,,
Addington Village Interchange,51.35658,-0.03239,1.0,490003101D,"130, 466, 64",addington village interchange,,,,,,,,,
Addington Village Tram Stop,51.356241,-0.032694,0.0,940GZZCRADV,"130, 314, 353, 359, 433, 466, 64, 654, 664, Tram",addington village tram stop,,,,,,,,,
Addiscombe,51.38021,-0.07304,0.0,4900ZZCRADD1,,addiscombe,,,,,,,,,
Addiscombe Road,51.37601,-0.09108,1.0,490001089E5,"197, 312, 367, 410, 689",addiscombe road,,,,,,,,,
Addiscombe Tram Stop,51.37948,-0.07307,0.0,4900ZZCRADD0,,addiscombe tram stop,,,,,,,,,
Addiscombe Tram Stop,51.37981,-0.073242,0.0,940GZZCRADD,"119, 194, 198, 466, Tram",addiscombe tram stop,,,,,,,,,
Addiscombe Tram Stop,51.38005,-0.07382,1.0,490002002B,"289, 312, 367, 689",addiscombe tram stop,,,,,,,,,
Addiscombe Tram Stop,51.38044,-0.07245,1.0,490002002A,"289, 312, 367, 689",addiscombe tram stop,,,,,,,,,
Addison Road,51.58317,-0.00725,1.0,490003107S,"W12, W16",addison road,,,,,,,,,
Addison Road,51.58324,-0.00746,1.0,490003107N,"W12, W16",addison road,,,,,,,,,
Addison Way,51.58793,-0.19977,1.0,490003108S,"102, 13, 460",addison way,,,,,,,,,
Adelaide Avenue / Montague Avenue,51.45902,-0.02885,1.0,490009988E,122,adelaide avenue / montague avenue,,,,,,,,,
Adelaide Avenue / St Margaret's Road,51.45904,-0.03118,1.0,490009988W1,122,adelaide avenue / st margaret's road,,,,,,,,,
Adelaide Grove,51.50637,-0.23676,1.0,490003110W,"207, 228, 260, 283, N207, SL8",adelaide grove,,,,,,,,,
Adelaide Grove,51.50652,-0.23751,1.0,490003110E,"207, 228, 260, 283, N207, SL8",adelaide grove,,,,,,,,,
Adelaide Road,51.4993,-0.38279,1.0,490014608C,"120, E5",adelaide road,,,,,,,,,
Adelphi Crescent,51.53245,-0.42294,1.0,490003111N,"195, U7",adelphi crescent,,,,,,,,,
Adelphi Crescent,51.53338,-0.42503,1.0,490003111S,"195, U7",adelphi crescent,,,,,,,,,
Adelphi Way,51.53204,-0.42196,1.0,490003113S,"195, U7",adelphi way,,,,,,,,,
Aden Grove,51.55333,-0.08802,1.0,490003114S,"141, 341",aden grove,,,,,,,,,
Aden Grove,51.55372,-0.08848,1.0,490009055N,"141, 341",aden grove,,,,,,,,,
Adley Street,51.55015,-0.03408,1.0,490003222E,"236, 276, 308, W15",adley street,,,,,,,,,
Admirals Way,51.5006,-0.01971,1.0,490002074E,D8,admirals way,,,,,,,,,
Admirals Way,51.50061,-0.02019,1.0,490002074W,D8,admirals way,,,,,,,,,
Adrienne Avenue,51.53265,-0.37277,1.0,490003116S,"120, 282, E6, E7, E9, N7",adrienne avenue,,,,,,,,,
Adrienne Avenue,51.53275,-0.37287,1.0,490003116E,"120, 282, E6, E7, E9, N7",adrienne avenue,,,,,,,,,
Aerodrome Road / Colindale Gardens,51.5959,-0.24528,1.0,490017849E,"125, 186",aerodrome road / colindale gardens,,,,,,,,,
Aerodrome Road / Colindale Gardens,51.59591,-0.24659,1.0,490017849W,"125, 186",aerodrome road / colindale gardens,,,,,,,,,
Agar Grove,51.54329,-0.12765,1.0,490003119W,274,agar grove,,,,,,,,,
Agar Grove / Maiden Lane,51.54271,-0.1259,1.0,490003074N,390,agar grove / maiden lane,,,,,,,,,
Agar Grove Estate,51.54254,-0.13417,1.0,490003120E,274,agar grove estate,,,,,,,,,
Agar Grove Estate,51.54263,-0.13345,1.0,490003120W,274,agar grove estate,,,,,,,,,
Agate Close,51.53319,-0.28568,1.0,490020359E,,agate close,,,,,,,,,
Ainslie Wood Road,51.61219,-0.01785,1.0,490003124S,"158, 215, 357, 385, 397, 657, 97, N26",ainslie wood road,,,,,,,,,
Aintree Avenue,51.53201,0.04877,1.0,490003126W,"115, 147, 5, 58, N15",aintree avenue,,,,,,,,,
Aintree Crescent,51.59423,0.0814,1.0,490003127W,169,aintree crescent,,,,,,,,,
Aintree Crescent,51.59432,0.08159,1.0,490003127E,169,aintree crescent,,,,,,,,,
Aintree Road,51.53995,-0.31489,1.0,490003128W,297,aintree road,,,,,,,,,
Aintree Road,51.53997,-0.31437,1.0,490003128E,297,aintree road,,,,,,,,,
Airport House,51.35628,-0.11664,1.0,490003130N,"119, 289, 439",airport house,,,,,,,,,
Aitken Road,51.64656,-0.22315,1.0,490018830Z,384,aitken road,,,,,,,,,
Ajax Avenue,51.5938,-0.25291,1.0,490003132CC,"204, 303, 632, 642, N5",ajax avenue,,,,,,,,,
Ajax Avenue,51.59415,-0.25223,1.0,490005786CD,"204, 303, 632, 642, N5",ajax avenue,,,,,,,,,
Al-Emaan Centre / Keston Mosque,51.36727,0.03746,1.0,490008681W,"353, 654, 664",al-emaan centre / keston mosque,,,,,,,,,
Al-Emaan Centre / Keston Mosque,51.36746,0.03596,1.0,490010989E,"353, 654, 664",al-emaan centre / keston mosque,,,,,,,,,
Albany Leisure Centre,51.66791,-0.04179,1.0,490003136N,"121, 279, N279",albany leisure centre,,,,,,,,,
Albany Leisure Centre,51.66882,-0.04128,1.0,490003140S,"121, 279, N279",albany leisure centre,,,,,,,,,
Albany Park Avenue,51.66577,-0.03772,1.0,490003145W,191,albany park avenue,,,,,,,,,
Albany Park Avenue,51.66578,-0.03646,1.0,490003145E,191,albany park avenue,,,,,,,,,
Albany Park Rail Station,51.435453,0.125737,0.0,910GALBNYPK,"269, 669, B14, Southeastern",albany park rail station,,,,,,,,,
Albany Park Station,51.43507,0.12596,1.0,4900ALBNYPK1,,albany park station,,,,,,,,,
Albany Park Station,51.43568,0.12606,1.0,4900ALBNYPK0,,albany park station,,,,,,,,,
Albany Road,51.41969,0.06598,1.0,490003139H,"161, 273, 638, N136",albany road,,,,,,,,,
Albany Road,51.48618,-0.29979,1.0,490003137X,"235, 65, N65",albany road,,,,,,,,,
Albany Road,51.48658,-0.29989,1.0,490003137V,"235, 65, N65",albany road,,,,,,,,,
Albany Road,51.5727,0.14558,1.0,490007654W,"86, N86",albany road,,,,,,,,,
Albany Road / Camberwell Road,51.48233,-0.09312,1.0,490003138W,42,albany road / camberwell road,,,,,,,,,
Albany Road / Camberwell Road,51.48252,-0.09249,1.0,490003138E,42,albany road / camberwell road,,,,,,,,,
Albany Road / Green Lane,51.42123,0.06792,1.0,490003142B,"160, 162, 61, R7",albany road / green lane,,,,,,,,,
Albany Road / Wells Way,51.48413,-0.08518,1.0,490003143W,"136, 343, 42, N343",albany road / wells way,,,,,,,,,
Albany Road / Wells Way,51.48424,-0.08526,1.0,490003143E,"136, 343, 42, N343",albany road / wells way,,,,,,,,,
Albany Street,51.52436,-0.14446,1.0,490013600C,88,albany street,,,,,,,,,
Albatross Close,51.51844,0.05995,1.0,490003747S,"101, 104, 173, 300, 474, 673",albatross close,,,,,,,,,
Albatross Close,51.5195,0.05951,1.0,490003747N,"101, 104, 173, 300, 474, 673",albatross close,,,,,,,,,
Albemarle,51.44212,-0.22347,1.0,490003146S,93,albemarle,,,,,,,,,
Albemarle,51.44274,-0.22343,1.0,490003146N,93,albemarle,,,,,,,,,
Albemarle Road,51.40725,-0.00494,1.0,490003147W,227,albemarle road,,,,,,,,,
Albemarle Road,51.40734,-0.00501,1.0,490003147E,227,albemarle road,,,,,,,,,
Albert Bridge / Cadogan Pier,51.48316,-0.16867,1.0,490003152E,170,albert bridge / cadogan pier,,,,,,,,,
Albert Bridge / Cadogan Pier,51.48345,-0.16614,1.0,490003152W,170,albert bridge / cadogan pier,,,,,,,,,
Albert Carr Gardens,51.42319,-0.12858,1.0,490003153W,249,albert carr gardens,,,,,,,,,
Albert Carr Gardens,51.42336,-0.12838,1.0,490003153E,249,albert carr gardens,,,,,,,,,
Albert Grove,51.41513,-0.21935,1.0,490003155W,"131, 57, N87",albert grove,,,,,,,,,
Albert Grove,51.41518,-0.21949,1.0,490003155E,"131, 57, N87",albert grove,,,,,,,,,
Albert Road,51.51122,-0.47091,1.0,490003159D,350,albert road,,,,,,,,,
Albert Road,51.51134,-0.4714,1.0,490003159C,350,albert road,,,,,,,,,
Albert Road,51.57029,-0.11428,1.0,490003160CT,"210, 310, W3, W7",albert road,,,,,,,,,
Albert Road,51.57209,0.19067,1.0,490015118W,"165, 193, 294, 674",albert road,,,,,,,,,
Albert Road,51.57237,0.19231,1.0,490015118E,"165, 193, 294, 674",albert road,,,,,,,,,
Albert Road,51.5754,0.1883,1.0,490003157W,"370, 496, 649, 650",albert road,,,,,,,,,
Albert Road,51.57578,0.18921,1.0,490003157E,"370, 496, 649, 650",albert road,,,,,,,,,
Albert Road,51.60167,-0.1316,1.0,490003158S,"102, 184, 299",albert road,,,,,,,,,
Albert Road,51.60239,-0.13098,1.0,490003158N,"102, 184, 299",albert road,,,,,,,,,
Albert Road / Nuxley Road,51.48154,0.14439,1.0,490012593N,401,albert road / nuxley road,,,,,,,,,
Albert Square,51.47626,-0.11849,1.0,490003164N,"155, 333, N155",albert square,,,,,,,,,
Albert Square,51.47695,-0.11742,1.0,490003164S,"155, 333, N155",albert square,,,,,,,,,
Albert Terrace / London Zoo,51.53788,-0.15498,1.0,490009291B,274,albert terrace / london zoo,,,,,,,,,
Albion Road,51.41356,-0.27319,1.0,490003166E,57,albion road,,,,,,,,,
Albion Road,51.4136,-0.27232,1.0,490003166W,57,albion road,,,,,,,,,
Albion Road,51.45589,0.14212,1.0,490020014NE,,albion road,,,,,,,,,
Albion Road,51.55248,-0.08609,1.0,490010224S3,"141, 341",albion road,,,,,,,,,
Albury Avenue,51.345674,-0.227587,1.0,40004406047B,S2,albury avenue,,,,,,,,,
Albury Avenue,51.345724,-0.227915,1.0,40004406047A,S2,albury avenue,,,,,,,,,
Albury Close,51.42311,-0.36735,1.0,490003167E,R70,albury close,,,,,,,,,
Albury Close,51.42314,-0.36886,1.0,490003167W,R70,albury close,,,,,,,,,
Albury Drive,51.6044,-0.39802,1.0,490003168N,H13,albury drive,,,,,,,,,
Albury Drive,51.60487,-0.39782,1.0,490003168S,H13,albury drive,,,,,,,,,
Albyfield,51.39905,0.05477,1.0,490018904W,R7,albyfield,,,,,,,,,
Albyns Close,51.53559,0.19676,1.0,490003169S,"165, 365, 372, 652",albyns close,,,,,,,,,
Alcock Road,51.48185,-0.39554,1.0,490016382N,H28,alcock road,,,,,,,,,
Alcock Road,51.48244,-0.39464,1.0,490016382W,H28,alcock road,,,,,,,,,
Aldborough Road,51.541,0.16554,1.0,490009581S,"103, 364",aldborough road,,,,,,,,,
Aldborough Road North,51.57756,0.09832,1.0,490003171E,"296, 396, 66",aldborough road north,,,,,,,,,
Aldborough Road South,51.56276,0.09082,1.0,490011999E,"86, N86",aldborough road south,,,,,,,,,
Aldborough Road South,51.5777,0.09912,1.0,490019701NU,"296, 396, 66",aldborough road south,,,,,,,,,
Aldenham Drive,51.52714,-0.451,1.0,490003173S,U2,aldenham drive,,,,,,,,,
Aldenham Drive,51.52746,-0.45078,1.0,490003173N,U2,aldenham drive,,,,,,,,,
Aldenham Street,51.53158,-0.13554,1.0,490003174N,"1, 253, N20, N253, N5",aldenham street,,,,,,,,,
Aldenham Street,51.53199,-0.13576,1.0,490003174S,"1, 253, N20, N253, N5",aldenham street,,,,,,,,,
Alder Grove,51.56622,-0.23407,1.0,49003271DD,"16, 182, 245",alder grove,,,,,,,,,
Alder Grove,51.5665,-0.23377,1.0,490005476N,"16, 182, 245",alder grove,,,,,,,,,
Alderbrook Road,51.4492,-0.14794,1.0,490003175S,"155, 249, 355, N155",alderbrook road,,,,,,,,,
Alderbrook Road,51.44933,-0.1481,1.0,490003175N,"155, 249, 355, N155",alderbrook road,,,,,,,,,
Aldercroft,51.31617,-0.12852,1.0,49003176N1,404,aldercroft,,,,,,,,,
Alderman Avenue,51.52697,0.11291,1.0,490003177E,"EL1, EL2",alderman avenue,,,,,,,,,
Alderman Avenue,51.52711,0.11195,1.0,490003177W,"EL1, EL2",alderman avenue,,,,,,,,,
Alderney Gardens,51.54492,-0.3729,1.0,490003178W,"120, 140, 282, 90, N140, N7",alderney gardens,,,,,,,,,
Alderney Street,51.48792,-0.13961,1.0,490003179S,"24, 360, C10",alderney street,,,,,,,,,
Aldersgate Street,51.51865,-0.0972,1.0,490010130N,"4, 56",aldersgate street,,,,,,,,,
Alderson Street,51.52626,-0.2111,1.0,490003183E,23,alderson street,,,,,,,,,
Aldgate Bus Station,51.51386,-0.07532,1.0,490003184L,"115, 242, 254, N253, N551",aldgate bus station,,,,,,,,,
Aldgate East Station,51.51465,-0.07321,1.0,490000004W,"115, 135, 15, 205, 242, 25, 254, N15, N205, N25, N253, N550",aldgate east station,,,,,,,,,
Aldgate East Station,51.51492,-0.07151,1.0,490000004Y,,aldgate east station,,,,,,,,,
Aldgate East Station,51.51532,-0.07024,1.0,490000004Z,"115, 135, 15, N15, N550",aldgate east station,,,,,,,,,
Aldgate East Station,51.5155,-0.07143,1.0,490000004E,"205, 25, 254, N205, N25, N253",aldgate east station,,,,,,,,,
Aldgate East Station,51.51572,-0.07238,1.0,490000004N,242,aldgate east station,,,,,,,,,
Aldgate East Station,51.51577,-0.07217,1.0,490019414S,242,aldgate east station,,,,,,,,,
Aldgate East Underground Station,51.515037,-0.072384,0.0,940GZZLUADE,"205, 25, 254, District, Hammersmith & City, N205, N25, N253",aldgate east underground station,district,District,tube,940GZZLUADE,Aldgate East Underground Station,51.515037,-0.072384,"['bus', 'tube']",aldgate east underground station
Aldgate East Underground Station,51.515037,-0.072384,0.0,940GZZLUADE,"205, 25, 254, District, Hammersmith & City, N205, N25, N253",aldgate east underground station,hammersmith-city,Hammersmith & City,tube,940GZZLUADE,Aldgate East Underground Station,51.515037,-0.072384,"['bus', 'tube']",aldgate east underground station
Aldgate Station,51.51356,-0.07536,1.0,490000003DS,343,aldgate station,,,,,,,,,
