Start,End,Frequency,Route
Oxford Circus,Kings Cross St Pancras,5,Oxford Circus - Kings Cross St Pancras
London Bridge,Liverpool Street,5,London Bridge - Liverpool Street
Vauxhall,Victoria,5,Vauxhall - Victoria
Liverpool St NR,Waterloo,5,Liverpool St NR - Waterloo
Bond Street,Kings Cross St Pancras,5,Bond Street - Kings Cross St Pancras
London Bridge,Baker Street,5,London Bridge - Baker Street
Paddington,Green Park,5,Paddington - Green Park
Liverpool Street,Kings Cross St Pancras,5,Liverpool Street - Kings Cross St Pancras
London Bridge,Stratford,5,London Bridge - Stratford
London Bridge,South Kensington,5,London Bridge - South Kensington
Farringdon,Kings Cross St Pancras,5,Farringdon - Kings Cross St Pancras
Waterloo,Hammersmith D&P,5,Waterloo - Hammersmith D&P
Victoria,Embankment,5,Victoria - Embankment
Stratford,Bond Street,5,Stratford - Bond Street
London Bridge,Bond Street,4,London Bridge - Bond Street
Green Park,Victoria,4,Green Park - Victoria
Stratford,Tottenham Court Road,4,Stratford - Tottenham Court Road
Kings Cross St Pancras,Old Street,4,Kings Cross St Pancras - Old Street
Kings Cross St Pancras,Wembley Park,4,Kings Cross St Pancras - Wembley Park
Liverpool Street,Waterloo,4,Liverpool Street - Waterloo
Victoria,Elephant & Castle,4,Victoria - Elephant & Castle
Kings Cross St Pancras,Leicester Square,4,Kings Cross St Pancras - Leicester Square
Finsbury Park,London Bridge,4,Finsbury Park - London Bridge
Victoria,London Bridge,4,Victoria - London Bridge
South Kensington,Liverpool Street,4,South Kensington - Liverpool Street
Stratford,Liverpool Street,4,Stratford - Liverpool Street
Oxford Circus,Moorgate,4,Oxford Circus - Moorgate
Leicester Square,Bank,4,Leicester Square - Bank
Stratford,London Bridge,4,Stratford - London Bridge
London Bridge,Victoria,4,London Bridge - Victoria
Stratford,Whitechapel,4,Stratford - Whitechapel
Waterloo,Bond Street,4,Waterloo - Bond Street
London Bridge,Turnpike Lane,4,London Bridge - Turnpike Lane
Stratford,Oxford Circus,4,Stratford - Oxford Circus
Kings Cross St Pancras,London Bridge,4,Kings Cross St Pancras - London Bridge
London Bridge,Green Park,4,London Bridge - Green Park
Holborn,Kings Cross St Pancras,4,Holborn - Kings Cross St Pancras
Bond Street,Liverpool Street,4,Bond Street - Liverpool Street
Euston,Finsbury Park,4,Euston - Finsbury Park
Kings Cross St Pancras,Mile End,4,Kings Cross St Pancras - Mile End
Earls Court,Tottenham Court Road,4,Earls Court - Tottenham Court Road
Stratford,South Kensington,4,Stratford - South Kensington
Bond Street,Baker Street,4,Bond Street - Baker Street
Liverpool St NR,Victoria,4,Liverpool St NR - Victoria
Liverpool St NR,Bond Street,4,Liverpool St NR - Bond Street
Earls Court,Victoria,4,Earls Court - Victoria
Lancaster Gate,Kings Cross St Pancras,4,Lancaster Gate - Kings Cross St Pancras
South Kensington,London Bridge,4,South Kensington - London Bridge
Leicester Square,Waterloo,4,Leicester Square - Waterloo
Tottenham Court Road,Highbury & Islington,4,Tottenham Court Road - Highbury & Islington
Tottenham Court Road,Victoria,4,Tottenham Court Road - Victoria
Waterloo,East Putney,4,Waterloo - East Putney
Brixton,Kings Cross St Pancras,4,Brixton - Kings Cross St Pancras
Victoria,Stratford,4,Victoria - Stratford
Tottenham Court Road,Kings Cross St Pancras,4,Tottenham Court Road - Kings Cross St Pancras
Walthamstow Central,Leicester Square,4,Walthamstow Central - Leicester Square
Hammersmith C&H,Tottenham Court Road,4,Hammersmith C&H - Tottenham Court Road
Victoria,Waterloo,4,Victoria - Waterloo
Oxford Circus,Bank,4,Oxford Circus - Bank
Liverpool Street,London Bridge,4,Liverpool Street - London Bridge
Victoria,Wimbledon,4,Victoria - Wimbledon
Liverpool Street,Oxford Circus,4,Liverpool Street - Oxford Circus
Tottenham Court Road,Piccadilly Circus,4,Tottenham Court Road - Piccadilly Circus
Tottenham Hale,London Bridge,4,Tottenham Hale - London Bridge
Piccadilly Circus,Victoria,4,Piccadilly Circus - Victoria
Old Street,Brixton,4,Old Street - Brixton
Kings Cross St Pancras,Euston,4,Kings Cross St Pancras - Euston
Victoria,Bank,4,Victoria - Bank
Old Street,Kings Cross St Pancras,4,Old Street - Kings Cross St Pancras
Oxford Circus,Tower Hill,4,Oxford Circus - Tower Hill
Tottenham Court Road,Stratford,4,Tottenham Court Road - Stratford
Liverpool St NR,London Bridge,4,Liverpool St NR - London Bridge
Canary Wharf,London Bridge,4,Canary Wharf - London Bridge
Piccadilly Circus,Oxford Circus,4,Piccadilly Circus - Oxford Circus
Harrow-on-the-Hill,Liverpool Street,4,Harrow-on-the-Hill - Liverpool Street
Kings Cross St Pancras,Bond Street,4,Kings Cross St Pancras - Bond Street
Kings Cross St Pancras,Clapham Junction,4,Kings Cross St Pancras - Clapham Junction
Victoria,East Ham,3,Victoria - East Ham
Waterloo,Tottenham Court Road,3,Waterloo - Tottenham Court Road
Heathrow Terminals 2&3,Tottenham Court Road,3,Heathrow Terminals 2&3 - Tottenham Court Road
Liverpool St NR,Woolwich Arsenal DLR,3,Liverpool St NR - Woolwich Arsenal DLR
Victoria,Earls Court,3,Victoria - Earls Court
East Ham,Oxford Circus,3,East Ham - Oxford Circus
Liverpool St NR,Wembley Central,3,Liverpool St NR - Wembley Central
London Bridge,Oxford Circus,3,London Bridge - Oxford Circus
London Bridge,North Greenwich,3,London Bridge - North Greenwich
Holborn,Bank,3,Holborn - Bank
Leicester Square,North Greenwich,3,Leicester Square - North Greenwich
Liverpool St NR,Stratford,3,Liverpool St NR - Stratford
Hammersmith D&P,Paddington,3,Hammersmith D&P - Paddington
Oxford Circus,Farringdon,3,Oxford Circus - Farringdon
Kings Cross St Pancras,Green Park,3,Kings Cross St Pancras - Green Park
Charing Cross,London Bridge,3,Charing Cross - London Bridge
Tottenham Court Road,Bond Street,3,Tottenham Court Road - Bond Street
Tooting Broadway,Victoria,3,Tooting Broadway - Victoria
North Greenwich,Stratford,3,North Greenwich - Stratford
Waterloo,Victoria,3,Waterloo - Victoria
Embankment,East Ham,3,Embankment - East Ham
Waterloo,Upton Park,3,Waterloo - Upton Park
Waterloo,Seven Sisters,3,Waterloo - Seven Sisters
Paddington,Baker Street,3,Paddington - Baker Street
Waterloo,Stratford,3,Waterloo - Stratford
Brixton,Victoria,3,Brixton - Victoria
Piccadilly Circus,South Kensington,3,Piccadilly Circus - South Kensington
Brixton,West Hampstead LO,3,Brixton - West Hampstead LO
Paddington,Walthamstow Central,3,Paddington - Walthamstow Central
Victoria,Barbican,3,Victoria - Barbican
Farringdon,Notting Hill Gate,3,Farringdon - Notting Hill Gate
Victoria,Angel,3,Victoria - Angel
Oxford Circus,Vauxhall,3,Oxford Circus - Vauxhall
Kings Cross St Pancras,Turnpike Lane,3,Kings Cross St Pancras - Turnpike Lane
London Bridge,Brixton,3,London Bridge - Brixton
Highbury & Islington,Leicester Square,3,Highbury & Islington - Leicester Square
Vauxhall,South Kensington,3,Vauxhall - South Kensington
Paddington,North Greenwich,3,Paddington - North Greenwich
Liverpool St NR,Hammersmith D&P,3,Liverpool St NR - Hammersmith D&P
Barking,Leicester Square,3,Barking - Leicester Square
Piccadilly Circus,Richmond,3,Piccadilly Circus - Richmond
Farringdon,London Bridge,3,Farringdon - London Bridge
Heathrow Terminal 5,Covent Garden,3,Heathrow Terminal 5 - Covent Garden
Farringdon,Oxford Circus,3,Farringdon - Oxford Circus
Victoria,Bethnal Green NR,3,Victoria - Bethnal Green NR
Paddington,Victoria,3,Paddington - Victoria
Tottenham Court Road,Barking,3,Tottenham Court Road - Barking
Kings Cross St Pancras,Charing Cross,3,Kings Cross St Pancras - Charing Cross
Kings Cross St Pancras,Holborn,3,Kings Cross St Pancras - Holborn
Romford,Victoria,3,Romford - Victoria
Canning Town,Euston,3,Canning Town - Euston
Euston,Victoria,3,Euston - Victoria
Green Park,Kings Cross St Pancras,3,Green Park - Kings Cross St Pancras
Kings Cross St Pancras,Bermondsey,3,Kings Cross St Pancras - Bermondsey
Stepney Green,Tottenham Court Road,3,Stepney Green - Tottenham Court Road
Tottenham Court Road,Paddington,3,Tottenham Court Road - Paddington
Kings Cross St Pancras,Blackfriars,3,Kings Cross St Pancras - Blackfriars
Knightsbridge,Oxford Circus,3,Knightsbridge - Oxford Circus
Baker Street,Liverpool Street,3,Baker Street - Liverpool Street
Hammersmith D&P,Kings Cross St Pancras,3,Hammersmith D&P - Kings Cross St Pancras
Clapham South,Kings Cross St Pancras,3,Clapham South - Kings Cross St Pancras
Tottenham Court Road,Upton Park,3,Tottenham Court Road - Upton Park
Knightsbridge,Liverpool Street,3,Knightsbridge - Liverpool Street
Euston,Tottenham Court Road,3,Euston - Tottenham Court Road
Kings Cross St Pancras,Highgate,3,Kings Cross St Pancras - Highgate
North Greenwich,London Bridge,3,North Greenwich - London Bridge
Baker Street,Kings Cross St Pancras,3,Baker Street - Kings Cross St Pancras
Kings Cross St Pancras,Ealing Broadway,3,Kings Cross St Pancras - Ealing Broadway
Stratford,Leyton,3,Stratford - Leyton
Kings Cross St Pancras,High Street Kensington,3,Kings Cross St Pancras - High Street Kensington
South Kensington,Stratford,3,South Kensington - Stratford
Tottenham Court Road,Wood Green,3,Tottenham Court Road - Wood Green
Clapham Junction,Tottenham Court Road,3,Clapham Junction - Tottenham Court Road
Stratford,Waterloo,3,Stratford - Waterloo
Stratford,Embankment,3,Stratford - Embankment
Lambeth North,Stratford,3,Lambeth North - Stratford
North Greenwich,Victoria,3,North Greenwich - Victoria
Hammersmith C&H,Green Park,3,Hammersmith C&H - Green Park
Richmond,Stratford,3,Richmond - Stratford
Kings Cross St Pancras,Canary Wharf,3,Kings Cross St Pancras - Canary Wharf
Charing Cross,Bank,3,Charing Cross - Bank
Canning Town,Monument,3,Canning Town - Monument
North Acton,Liverpool Street,3,North Acton - Liverpool Street
Euston,Whitechapel,3,Euston - Whitechapel
Embankment,Canary Wharf,3,Embankment - Canary Wharf
Tottenham Court Road,Great Portland Street,3,Tottenham Court Road - Great Portland Street
Embankment,Camden Town,3,Embankment - Camden Town
Stratford,Earls Court,3,Stratford - Earls Court
Tottenham Court Road,London Bridge,3,Tottenham Court Road - London Bridge
Tottenham Court Road,Bank,3,Tottenham Court Road - Bank
Clapham Junction,Waterloo,3,Clapham Junction - Waterloo
North Greenwich,Kings Cross St Pancras,3,North Greenwich - Kings Cross St Pancras
Kings Cross St Pancras,Tooting Broadway,3,Kings Cross St Pancras - Tooting Broadway
Charing Cross,Euston,3,Charing Cross - Euston
Stratford,Holborn,3,Stratford - Holborn
Farringdon,Victoria,3,Farringdon - Victoria
Green Park,Paddington,3,Green Park - Paddington
Victoria,Warren Street,3,Victoria - Warren Street
Oxford Circus,Notting Hill Gate,3,Oxford Circus - Notting Hill Gate
Waterloo,Liverpool Street,3,Waterloo - Liverpool Street
Westminster,Oxford Circus,3,Westminster - Oxford Circus
Farringdon,Caledonian Road,3,Farringdon - Caledonian Road
Tottenham Hale,Waterloo,3,Tottenham Hale - Waterloo
Covent Garden,Liverpool Street,3,Covent Garden - Liverpool Street
Euston Square,Farringdon,3,Euston Square - Farringdon
Kentish Town,Bond Street,3,Kentish Town - Bond Street
Moorgate,London Bridge,3,Moorgate - London Bridge
Covent Garden,Canary Wharf,3,Covent Garden - Canary Wharf
Moorgate,Oxford Circus,3,Moorgate - Oxford Circus
Waterloo,Farringdon,3,Waterloo - Farringdon
Tower Hill,Oxford Circus,3,Tower Hill - Oxford Circus
Hammersmith D&P,Waterloo,3,Hammersmith D&P - Waterloo
Leicester Square,Victoria,3,Leicester Square - Victoria
Old Street,Stratford,3,Old Street - Stratford
Whitechapel,Romford,3,Whitechapel - Romford
Waterloo,Ealing Broadway,3,Waterloo - Ealing Broadway
Hammersmith D&P,South Kensington,3,Hammersmith D&P - South Kensington
Bond Street,London Bridge,3,Bond Street - London Bridge
Covent Garden,Oxford Circus,3,Covent Garden - Oxford Circus
Mile End,Stratford,3,Mile End - Stratford
Barking,Bond Street,3,Barking - Bond Street
Piccadilly Circus,Waterloo,3,Piccadilly Circus - Waterloo
Mile End,Victoria,3,Mile End - Victoria
Waterloo,North Greenwich,3,Waterloo - North Greenwich
London Bridge,Walthamstow Central,3,London Bridge - Walthamstow Central
Oxford Circus,High Street Kensington,3,Oxford Circus - High Street Kensington
London Bridge,Clapham Junction,3,London Bridge - Clapham Junction
Farringdon,Charing Cross,3,Farringdon - Charing Cross
Bank,North Greenwich,3,Bank - North Greenwich
Camden Town,Stratford,3,Camden Town - Stratford
Canada Water,Charing Cross,3,Canada Water - Charing Cross
Mile End,Liverpool Street,3,Mile End - Liverpool Street
Westminster,Bank,3,Westminster - Bank
Camden Town,Moorgate,3,Camden Town - Moorgate
South Kensington,Kings Cross St Pancras,3,South Kensington - Kings Cross St Pancras
Upton Park,Hammersmith D&P,3,Upton Park - Hammersmith D&P
Pimlico,Euston,3,Pimlico - Euston
Bank,Tottenham Court Road,3,Bank - Tottenham Court Road
Waterloo,Marble Arch,3,Waterloo - Marble Arch
Finsbury Park,Highbury & Islington,3,Finsbury Park - Highbury & Islington
Bank,Holborn,3,Bank - Holborn
Oxford Circus,Liverpool St NR,3,Oxford Circus - Liverpool St NR
Oxford Circus,Liverpool Street,3,Oxford Circus - Liverpool Street
Oxford Circus,London Bridge,3,Oxford Circus - London Bridge
Warwick Avenue,Kings Cross St Pancras,3,Warwick Avenue - Kings Cross St Pancras
Westminster,Stratford,3,Westminster - Stratford
Waterloo,Oxford Circus,3,Waterloo - Oxford Circus
Liverpool Street,Upminster,3,Liverpool Street - Upminster
Brixton,Oxford Circus,3,Brixton - Oxford Circus
Paddington,Camden Road,3,Paddington - Camden Road
Elephant & Castle,Leicester Square,3,Elephant & Castle - Leicester Square
Victoria,Liverpool St NR,3,Victoria - Liverpool St NR
Waterloo,Wembley Park,3,Waterloo - Wembley Park
Victoria,Knightsbridge,3,Victoria - Knightsbridge
Paddington,Stratford,3,Paddington - Stratford
Piccadilly Circus,Bank,3,Piccadilly Circus - Bank
Victoria,Seven Sisters,3,Victoria - Seven Sisters
South Kensington,Notting Hill Gate,3,South Kensington - Notting Hill Gate
London Bridge,West Hampstead,3,London Bridge - West Hampstead
Holborn,London Bridge,3,Holborn - London Bridge
Paddington,Liverpool St NR,3,Paddington - Liverpool St NR
High Street Kensington,London Bridge,3,High Street Kensington - London Bridge
High Street Kensington,Green Park,3,High Street Kensington - Green Park
Bethnal Green,Hammersmith D&P,3,Bethnal Green - Hammersmith D&P
Brixton,Covent Garden,3,Brixton - Covent Garden
South Kensington,Tower Hill,3,South Kensington - Tower Hill
Brixton,Cutty Sark,3,Brixton - Cutty Sark
Victoria,Westminster,3,Victoria - Westminster
St James's Park,Kings Cross St Pancras,3,St James's Park - Kings Cross St Pancras
Paddington,Highbury & Islington,3,Paddington - Highbury & Islington
Paddington,Charing Cross,3,Paddington - Charing Cross
London Bridge,Shepherds Bush Market,3,London Bridge - Shepherds Bush Market
Bond Street,Charing Cross,3,Bond Street - Charing Cross
East Putney,Liverpool Street,3,East Putney - Liverpool Street
Oxford Circus,Charing Cross,3,Oxford Circus - Charing Cross
Vauxhall,Colindale,3,Vauxhall - Colindale
Canary Wharf,Bank,3,Canary Wharf - Bank
Gloucester Road,London Bridge,3,Gloucester Road - London Bridge
Bond Street,Moorgate,3,Bond Street - Moorgate
Ealing Broadway,Stratford,3,Ealing Broadway - Stratford
Piccadilly Circus,Bond Street,3,Piccadilly Circus - Bond Street
Oxford Circus,Baker Street,3,Oxford Circus - Baker Street
Bank,Angel,3,Bank - Angel
Oxford Circus,Abbey Wood,3,Oxford Circus - Abbey Wood
St Johns Wood,Turnpike Lane,3,St Johns Wood - Turnpike Lane
Bond Street,Stratford,3,Bond Street - Stratford
London Bridge,Canary Wharf,3,London Bridge - Canary Wharf
Brixton,Tottenham Court Road,3,Brixton - Tottenham Court Road
Wembley Park,Victoria,3,Wembley Park - Victoria
Victoria,Piccadilly Circus,3,Victoria - Piccadilly Circus
Liverpool Street,Victoria,3,Liverpool Street - Victoria
Victoria,Oxford Circus,3,Victoria - Oxford Circus
Liverpool Street,Farringdon,3,Liverpool Street - Farringdon
Turnpike Lane,Canary Wharf,3,Turnpike Lane - Canary Wharf
Westminster,Canning Town,2,Westminster - Canning Town
Westminster,Bond Street,2,Westminster - Bond Street
Westminster,Barking,2,Westminster - Barking
Ilford,Liverpool Street,2,Ilford - Liverpool Street
Bank,Plaistow,2,Bank - Plaistow
Bank,London Bridge,2,Bank - London Bridge
Seven Sisters,Tottenham Court Road,2,Seven Sisters - Tottenham Court Road
Edgware,Shepherds Bush LO,2,Edgware - Shepherds Bush LO
Edgware,Tottenham Court Road,2,Edgware - Tottenham Court Road
Leytonstone,Victoria,2,Leytonstone - Victoria
Bank,Stockwell,2,Bank - Stockwell
Bank,St Pauls,2,Bank - St Pauls
Piccadilly Circus,Rayners Lane,2,Piccadilly Circus - Rayners Lane
Bank,Stratford,2,Bank - Stratford
Seven Sisters,Westminster,2,Seven Sisters - Westminster
Edgware,Bond Street,2,Edgware - Bond Street
Bank,Vauxhall,2,Bank - Vauxhall
Bank,Whitechapel,2,Bank - Whitechapel
Westbourne Park,Canary Wharf,2,Westbourne Park - Canary Wharf
Shadwell DLR,Paddington,2,Shadwell DLR - Paddington
Hyde Park Corner,Oxford Circus,2,Hyde Park Corner - Oxford Circus
East Putney,Upton Park,2,East Putney - Upton Park
Bank,Liverpool St NR,2,Bank - Liverpool St NR
West Kensington,Whitechapel,2,West Kensington - Whitechapel
Bank,Liverpool Street,2,Bank - Liverpool Street
West Hampstead,London Bridge,2,West Hampstead - London Bridge
Bank,Knightsbridge,2,Bank - Knightsbridge
Barking,Stratford,2,Barking - Stratford
West Kensington,Stratford,2,West Kensington - Stratford
Liverpool St NR,Hammersmith C&H,2,Liverpool St NR - Hammersmith C&H
East Ham,Whitechapel,2,East Ham - Whitechapel
Ilford,Whitechapel,2,Ilford - Whitechapel
Shepherds Bush,Canary Wharf,2,Shepherds Bush - Canary Wharf
Barking,Oxford Circus,2,Barking - Oxford Circus
Liverpool St NR,Highbury & Islington,2,Liverpool St NR - Highbury & Islington
Liverpool St NR,Kings Cross St Pancras,2,Liverpool St NR - Kings Cross St Pancras
West Hampstead,Euston,2,West Hampstead - Euston
Piccadilly Circus,North Greenwich,2,Piccadilly Circus - North Greenwich
East Ham,Waterloo,2,East Ham - Waterloo
Pimlico,Piccadilly Circus,2,Pimlico - Piccadilly Circus
East Ham,Tottenham Court Road,2,East Ham - Tottenham Court Road
Barking,Wembley Park,2,Barking - Wembley Park
Shepherds Bush,Gloucester Road,2,Shepherds Bush - Gloucester Road
Liverpool St NR,Old Street,2,Liverpool St NR - Old Street
Hounslow Central,Victoria,2,Hounslow Central - Victoria
West Finchley,Euston,2,West Finchley - Euston
Piccadilly Circus,Wanstead,2,Piccadilly Circus - Wanstead
East Putney,Southwark,2,East Putney - Southwark
Shadwell LO,Dalston Junction,2,Shadwell LO - Dalston Junction
Liverpool St NR,Brixton,2,Liverpool St NR - Brixton
Liverpool St NR,Bank,2,Liverpool St NR - Bank
Euston,Belsize Park,2,Euston - Belsize Park
Barbican,Paddington,2,Barbican - Paddington
Baker Street,Marble Arch,2,Baker Street - Marble Arch
Euston,Kings Cross St Pancras,2,Euston - Kings Cross St Pancras
Kings Cross St Pancras,Crystal Palace,2,Kings Cross St Pancras - Crystal Palace
Kings Cross St Pancras,Clapham South,2,Kings Cross St Pancras - Clapham South
Kings Cross St Pancras,Clapham Common,2,Kings Cross St Pancras - Clapham Common
Embankment,Kings Cross St Pancras,2,Embankment - Kings Cross St Pancras
Romford,Farringdon,2,Romford - Farringdon
Lambeth North,Baker Street,2,Lambeth North - Baker Street
Queensway,Southfields,2,Queensway - Southfields
Aldgate,Oxford Circus,2,Aldgate - Oxford Circus
Aldgate,Green Park,2,Aldgate - Green Park
Kings Cross St Pancras,Highbury & Islington,2,Kings Cross St Pancras - Highbury & Islington
Epping,London Bridge,2,Epping - London Bridge
Kings Cross St Pancras,Shadwell LO,2,Kings Cross St Pancras - Shadwell LO
Kings Cross St Pancras,Shepherds Bush LO,2,Kings Cross St Pancras - Shepherds Bush LO
Kings Cross St Pancras,Piccadilly Circus,2,Kings Cross St Pancras - Piccadilly Circus
Euston,Angel,2,Euston - Angel
Euston,Barking,2,Euston - Barking
Kings Cross St Pancras,Stockwell,2,Kings Cross St Pancras - Stockwell
Kings Cross St Pancras,Temple,2,Kings Cross St Pancras - Temple
Liverpool St NR,Gloucester Road,2,Liverpool St NR - Gloucester Road
Kings Cross St Pancras,North Acton,2,Kings Cross St Pancras - North Acton
Euston,Bond Street,2,Euston - Bond Street
Kings Cross St Pancras,Marble Arch,2,Kings Cross St Pancras - Marble Arch
Kings Cross St Pancras,Dalston Kingsland,2,Kings Cross St Pancras - Dalston Kingsland
Kings Cross St Pancras,Earls Court,2,Kings Cross St Pancras - Earls Court
Queensway,Hammersmith C&H,2,Queensway - Hammersmith C&H
Kings Cross St Pancras,Gloucester Road,2,Kings Cross St Pancras - Gloucester Road
Leicester Square,Prince Regent,2,Leicester Square - Prince Regent
West Ealing,Waterloo,2,West Ealing - Waterloo
Aldgate East,Richmond,2,Aldgate East - Richmond
Kings Cross St Pancras,Harrow-on-the-Hill,2,Kings Cross St Pancras - Harrow-on-the-Hill
Richmond,Paddington,2,Richmond - Paddington
Embankment,Stratford,2,Embankment - Stratford
Knightsbridge,Farringdon,2,Knightsbridge - Farringdon
Knightsbridge,Harrow-on-the-Hill,2,Knightsbridge - Harrow-on-the-Hill
Knightsbridge,Holborn,2,Knightsbridge - Holborn
Knightsbridge,Leicester Square,2,Knightsbridge - Leicester Square
Knightsbridge,London Bridge,2,Knightsbridge - London Bridge
Knightsbridge,Waterloo,2,Knightsbridge - Waterloo
Embankment,St James's Park,2,Embankment - St James's Park
Kings Cross St Pancras,Finsbury Park,2,Kings Cross St Pancras - Finsbury Park
Aldgate East,London Bridge,2,Aldgate East - London Bridge
Kings Cross St Pancras,Farringdon,2,Kings Cross St Pancras - Farringdon
Queensway,Oxford Circus,2,Queensway - Oxford Circus
Knightsbridge,Stratford,2,Knightsbridge - Stratford
Kings Cross St Pancras,Camden Town,2,Kings Cross St Pancras - Camden Town
Wood Lane,Seven Sisters,2,Wood Lane - Seven Sisters
Aldgate East,Waterloo,2,Aldgate East - Waterloo
Knightsbridge,Victoria,2,Knightsbridge - Victoria
Piccadilly Circus,Sloane Square,2,Piccadilly Circus - Sloane Square
Bank,Green Park,2,Bank - Green Park
West Hampstead,Stratford,2,West Hampstead - Stratford
Bank,East Finchley,2,Bank - East Finchley
Warren Street,Euston,2,Warren Street - Euston
London Bridge,Finsbury Park,2,London Bridge - Finsbury Park
Seven Sisters,Euston NR,2,Seven Sisters - Euston NR
White Hart Lane,Aldgate East,2,White Hart Lane - Aldgate East
Euston Square,Kings Cross St Pancras,2,Euston Square - Kings Cross St Pancras
White City,Seven Sisters,2,White City - Seven Sisters
Leyton,London Bridge,2,Leyton - London Bridge
Balham,Oxford Circus,2,Balham - Oxford Circus
Seven Kings,Tottenham Court Road,2,Seven Kings - Tottenham Court Road
White City,Manor House,2,White City - Manor House
Seven Sisters,Balham,2,Seven Sisters - Balham
Seven Sisters,Barking,2,Seven Sisters - Barking
Seven Sisters,Blackhorse Road,2,Seven Sisters - Blackhorse Road
Seven Sisters,Canary Wharf,2,Seven Sisters - Canary Wharf
Leyton,Tower Hill,2,Leyton - Tower Hill
Bank,Balham,2,Bank - Balham
Bank,Bermondsey,2,Bank - Bermondsey
Westminster,Waterloo,2,Westminster - Waterloo
Westminster,Finsbury Park,2,Westminster - Finsbury Park
Bank,Clapham Junction,2,Bank - Clapham Junction
Seven Sisters,Hackney Central,2,Seven Sisters - Hackney Central
Bank,Denmark Hill,2,Bank - Denmark Hill
Leytonstone,Canary Wharf,2,Leytonstone - Canary Wharf
Ealing Broadway,Woolwich Arsenal DLR,2,Ealing Broadway - Woolwich Arsenal DLR
Oxford Circus,Kentish Town,2,Oxford Circus - Kentish Town
Camden Town,Canary Wharf,2,Camden Town - Canary Wharf
Oxford Circus,Monument,2,Oxford Circus - Monument
Kings Cross St Pancras,Wembley Central,2,Kings Cross St Pancras - Wembley Central
Stockwell,Liverpool St NR,2,Stockwell - Liverpool St NR
Oxford Circus,North Greenwich,2,Oxford Circus - North Greenwich
Dagenham Heathway,Elephant & Castle,2,Dagenham Heathway - Elephant & Castle
Hayes & Harlington,London Bridge,2,Hayes & Harlington - London Bridge
Gants Hill,Bank,2,Gants Hill - Bank
New Cross Gate,Waterloo,2,New Cross Gate - Waterloo
Hammersmith C&H,Bond Street,2,Hammersmith C&H - Bond Street
Southgate,Highbury & Islington,2,Southgate - Highbury & Islington
New Cross Gate,Piccadilly Circus,2,New Cross Gate - Piccadilly Circus
Uxbridge,Oxford Circus,2,Uxbridge - Oxford Circus
Oxford Circus,Leytonstone,2,Oxford Circus - Leytonstone
Southwark,Kings Cross St Pancras,2,Southwark - Kings Cross St Pancras
Camden Road,Notting Hill Gate,2,Camden Road - Notting Hill Gate
Marylebone,Harrow-on-the-Hill,2,Marylebone - Harrow-on-the-Hill
Marylebone,Kings Cross St Pancras,2,Marylebone - Kings Cross St Pancras
Tottenham Court Road,Clapham South,2,Tottenham Court Road - Clapham South
Goodmayes,London Bridge,2,Goodmayes - London Bridge
Marylebone,Moorgate,2,Marylebone - Moorgate
